Experiment;Best solution DE
1;-3.831510216391455
2;-2.982105843359936
3;-2.0204724332258075
4;-3.5747574657373606
5;-3.0308476463096343
6;-2.0088189418812563
7;-3.196795588265004
8;-3.302003164474498
9;-4.038243583702789
10;-2.7311435067995
11;-2.771817604045222
12;-3.26986950695195
13;-3.0191421435708357
14;-2.315441446085047
15;-1.4195725580736942
16;-3.755373903512259
17;-3.186731992258879
18;-3.918719862086832
19;-2.582850350195776
20;-2.770304850495381
21;-2.80251000402132
22;-2.852094025872647
23;-2.632917551701536
24;-3.1345658874453015
25;-3.068114707126644
26;-3.319541980896824
27;-2.4949375104904097
28;-2.557654061734675
29;-4.053830024233339
30;-3.8369326805438315
31;-2.9377515930107236
32;-3.1263681835542476
33;-3.4878153405725207
34;-2.638049030508856
35;-2.576117913851194
36;-1.847854925476354
37;-2.1172150357667525
38;-2.630672109199851
39;-2.202988338570815
40;-2.4969380973680178
41;-1.7310579935700399
42;-3.06652150510735
43;-2.757678190788023
44;-3.19863884532017
45;-2.404747547992126
46;-2.3566068655732675
47;-3.49348088901695
48;-3.269739954149931
49;-3.076064989471019
50;-1.8319945452271071
51;-2.4679435825729508
52;-2.7801325319687833
53;-2.490898072583706
54;-3.0921408290737875
55;-2.5861344449720653
56;-3.008535765183833
57;-2.8494261225704
58;-2.3650977054584983
59;-3.3096834443225025
60;-3.3657448303460593
61;-3.892236416696537
62;-2.810154623784663
63;-2.8379645846912154
64;-2.7428667216454135
65;-3.8052067440478443
66;-2.192320633347029
67;-3.173775348691362
68;-2.9202024381864895
69;-2.716150875889805
70;-3.581583643537628
71;-3.1672078200508427
72;-2.47002644226403
73;-3.0542240384448367
74;-2.290944557415553
75;-3.341585922538771
76;-2.9840982546099926
77;-3.4795253922204847
78;-3.295525117690838
79;-1.689162454751957
80;-2.50381362471371
81;-3.329622305494097
82;-3.3079625020015353
83;-2.638863857904777
84;-1.9822987825503178
85;-2.3112685676521028
86;-1.7374103108135468
87;-3.62807891383482
88;-3.11471074703184
89;-2.00932225652377
90;-4.011312056554625
91;-2.5237287798308454
92;-3.1237082641426124
93;-2.178244631314925
94;-2.420926432691258
95;-2.296600647360895
96;-1.9573440223538867
97;-4.239428927104287
98;-1.917723903485466
99;-3.447304830552961
100;-2.9467766726203384
101;-2.9140777696446434
102;-3.2303679381295667
103;-2.6832750562596357
104;-2.610745138398478
105;-3.2517072254233352
106;-2.668029157217266
107;-2.8418792032573887
108;-3.7723175999900986
109;-2.145997764648779
110;-3.711834782148859
111;-3.9170358249864816
112;-2.402874937908573
113;-2.9740856542718084
114;-3.335181021326571
115;-3.5924193084301237
116;-2.907101443087341
117;-4.248930938165563
118;-3.812079016604136
119;-2.377476330688046
120;-2.6084775449203326
121;-2.536805487707289
122;-2.8505461453363843
123;-2.378862260935321
124;-3.4751987857437823
125;-3.214838388755454
126;-2.5610589347708053
127;-2.812617965288872
128;-4.089180450676877
129;-2.4897505008610783
130;-1.9098752415758375
131;-3.3898306318581257
132;-2.7863392230776745
133;-1.8184508174018368
134;-2.4901941871746467
135;-3.067919897829363
136;-2.5890009058281267
137;-4.69163825812809
138;-2.6570340058398534
139;-2.816092321893526
140;-2.6138564270785674
141;-3.5086020116872554
142;-2.770041335920735
143;-2.051526067037632
144;-3.2576308417926088
145;-3.3114294816884304
146;-2.939565246653853
147;-3.131895077233316
148;-3.523507731671089
149;-2.973114506066622
150;-2.55439530614068
151;-2.3707458982440137
152;-2.3588881699681012
153;-3.361852607105421
154;-2.889073920604415
155;-3.586927840928202
156;-2.8528255302675385
157;-2.987884513333806
158;-2.655515276194826
159;-3.814524689116406
160;-2.7815166126759054
161;-2.177472256751297
162;-3.2921546199210585
163;-2.9987555854755925
164;-1.8164717353367061
165;-2.7182101548128066
166;-3.244320206478093
167;-2.8179836834994765
168;-4.191213449299394
169;-2.387461541108683
170;-3.115621449646037
171;-3.041319751376436
172;-4.269968562608504
173;-3.707913336601455
174;-2.3114267819561323
175;-3.133104531497027
176;-2.518893877640455
177;-3.036271424188358
178;-2.176657578163955
179;-2.2098007344844723
180;-4.126264834223363
181;-2.2727666737963577
182;-2.130230709962637
183;-2.7923730160807683
184;-2.862465458068395
185;-2.152414717077336
186;-3.1193184771185587
187;-2.648327440126605
188;-2.601643554965297
189;-3.6090140056681737
190;-2.514900459196947
191;-1.8831536554810688
192;-2.378462658671284
193;-1.992832382342116
194;-2.7432722310011886
195;-3.1715680081338515
196;-2.6913937605830514
197;-4.490257140734746
198;-4.673649388146551
199;-2.7969478181371437
200;-2.8688873733725413
201;-2.715387962616613
202;-5.388157963551537
203;-1.3608913268188112
204;-2.1227271447143132
205;-4.057981961400271
206;-2.6450800720531045
207;-2.31480778558611
208;-2.0489790829990673
209;-3.3817034473802354
210;-1.993568818460949
211;-2.690425061772398
212;-3.166674103223063
213;-3.0034985586463896
214;-3.531158703053138
215;-3.061873926324769
216;-1.8510001760525405
217;-1.7842186330715646
218;-3.3897433017146312
219;-2.2361825923532916
220;-3.0416066302075397
221;-3.5727914020454885
222;-2.3513409538917918
223;-2.722475058459244
224;-2.621314181809293
225;-2.3059604000691323
226;-2.4748596679091133
227;-3.3387851792743852
228;-2.4778973895164094
229;-2.9653395297764495
230;-3.0765730668807647
231;-2.6535062781407013
232;-1.96264335862295
233;-2.408359095536561
234;-2.3959573955324176
235;-3.0998808269454754
236;-1.910365618123626
237;-3.640926787741758
238;-3.692589972340271
239;-4.692229597416392
240;-3.339687920795327
241;-4.179819159735937
242;-1.7196491347211327
243;-4.1443898210072865
244;-3.7455678515808946
245;-3.062736968270261
246;-6.724809982891844
247;-1.9430763856217448
248;-3.0037397014563276
249;-1.88121460075455
250;-2.9511116384947624
Mean;-2.9102870067614877
Stddev;0.7035639392019577
