Experiment;Best solution DE
1;16727.808058812232
2;13875.836037321942
3;19441.538552784943
4;16041.670927121413
5;16835.716016080045
6;18563.88271584366
7;16182.883980615848
8;15246.190511028017
9;19084.546887285596
10;18198.079674888424
11;17488.91785235323
12;15464.77072927705
13;17177.395137594314
14;16425.81022723554
15;15744.215483483531
16;14612.248098943386
17;17350.8739899899
18;17719.448994637303
19;17021.463008505078
20;15854.720501472846
21;17248.769038373204
22;18109.87120357466
23;18270.79465056026
24;18447.082990442683
25;17341.866116377838
26;18900.105938015313
27;19810.38704114753
28;17610.515338035046
29;17184.783281328182
30;16477.0866422932
31;17957.421510617594
32;17440.819768391993
33;15045.957867742374
34;20019.91485550598
35;17788.662787775338
36;20487.863731214537
37;16800.258875413845
38;17470.64424572953
39;14912.486570477646
40;17823.123058766876
41;17401.808599168042
42;16880.13273965218
43;13219.025663771812
44;14461.639300997716
45;18468.48301515415
46;18331.031013700416
47;17725.700515537857
48;17037.503808552385
49;18102.044444130992
50;19167.221194572794
51;20592.24511680387
52;18730.281506796695
53;18051.331917996795
54;20365.96977485072
55;17500.078636297487
56;19036.74300927821
57;15701.217826743437
58;15723.402233767822
59;19643.24658439121
60;18464.44214048416
61;16416.307412535134
62;16219.191594480753
63;15649.45418336985
64;10890.793471190394
65;16946.86706597995
66;14395.302856551007
67;16772.085341846854
68;17894.694141061642
69;16030.596831262274
70;14382.002543311952
71;18107.49158095783
72;14987.815489740908
73;16491.885889687757
74;19480.243722068557
75;19880.42586345465
76;19284.99679249542
77;17860.662164879777
78;16961.027539460636
79;19521.992139259473
80;18491.171616678945
81;17259.394697454496
82;17883.29724665575
83;18117.34035498275
84;19450.145620524272
85;17087.45116876679
86;17926.107976755822
87;15370.714781228437
88;16392.461839644428
89;14886.172585208267
90;17901.25879527529
91;19959.18123199724
92;17304.14235447047
93;19347.19963475685
94;18233.519322849315
95;16323.483426627787
96;17254.998205058888
97;18553.126063230575
98;15573.386524084815
99;18793.80213790665
100;17783.24290070941
101;16214.196794537509
102;18964.888483116694
103;16194.131419820058
104;17381.099594240117
105;14878.483385207292
106;19762.251013770045
107;18882.708197952586
108;17432.009813172714
109;17088.356594872013
110;20220.677545379545
111;18794.65779252508
112;18488.420769572047
113;21047.465733523597
114;17642.646381258277
115;20646.1971787115
116;17569.16519711059
117;20277.644814603293
118;18534.589442521552
119;15653.90347298659
120;18695.97581365484
121;17411.48180143941
122;18784.778218499
123;17143.499895472716
124;18910.527122717784
125;18042.342988747092
126;17518.471149813922
127;18464.760665838334
128;15070.890631689901
129;17205.79919517007
130;17696.94612786906
131;18756.29223027113
132;15948.234073310396
133;18987.386976609912
134;16081.676179154916
135;14440.75295196046
136;15768.151740883624
137;17551.804853320864
138;19468.1987284083
139;19077.059192802077
140;17303.574234475895
141;19688.953879374763
142;19795.579481405002
143;18927.5100843042
144;17444.697390211768
145;13488.225976180556
146;18462.72119160366
147;16463.664891528868
148;17187.005400727914
149;18411.774086593137
150;14852.075206255075
151;19787.05251530755
152;18725.91946497844
153;18361.356858652445
154;17761.39646208111
155;17979.01282724747
156;17140.398211985477
157;20112.21361149865
158;15427.892586335007
159;20664.53048813248
160;16128.368797359502
161;15427.854447671047
162;18305.536500375478
163;16050.62831473535
164;15381.739170208737
165;18898.7632747573
166;14979.394557707874
167;19984.125405184863
168;15379.538502514044
169;20341.402965033034
170;16564.138874356635
171;15606.995910533484
172;15898.126287593686
173;18120.292428683042
174;14026.396564020697
175;15587.515826330444
176;15840.204973913536
177;17861.980208966157
178;19136.526134713262
179;14691.81313655869
180;16234.439895167887
181;17720.023898645566
182;16670.741609187764
183;16260.498515144925
184;15596.265670805678
185;12835.591746441432
186;16278.317411801836
187;16459.26081347859
188;14272.83469592894
189;15387.83901120287
190;14010.855808916458
191;16975.939962033714
192;21073.988026911316
193;16390.54601455567
194;17605.22212892848
195;16382.627535659365
196;17375.958658122192
197;20073.309558794965
198;19305.873646918564
199;16837.797371534252
200;12953.982694126407
201;18899.73443984837
202;16920.090731189724
203;19688.856580044005
204;16050.495337752356
205;16017.946119365026
206;16404.759447839977
207;15420.175362320699
208;18959.010704032513
209;14733.57051101403
210;17798.573042031807
211;17345.21109740128
212;17585.951142025526
213;17721.80767788664
214;17335.80921331772
215;14300.55102253247
216;18875.660509035853
217;13070.008035330027
218;15693.493385005338
219;15587.12601229751
220;17967.465698466527
221;19681.263738121535
222;20830.28847091622
223;16433.54922157492
224;19691.759484715865
225;18438.987627340768
226;15382.765973151922
227;17324.471848869238
228;17641.164085935066
229;14721.948457912145
230;17397.741336277137
231;18629.81731502033
232;18932.058125601587
233;19309.089685496685
234;16222.459053808014
235;20183.363679280912
236;17841.26346388225
237;17653.044664368743
238;15970.324977774782
239;20463.20418058753
240;17436.63452110311
241;18876.855498754907
242;18744.0945760431
243;18287.210779673554
244;19371.84227585681
245;19018.157375074064
246;18309.942717178186
247;16554.732319198287
248;18052.751653430674
249;19700.834356441228
250;11871.45603399231
Mean;17375.28850632482
Stddev;1806.8009861535097
