Experiment;Best solution DE
1;12399.479529550414
2;12375.290985929527
3;12367.19718418729
4;12429.730706589888
5;12342.212605654568
6;12414.284112777557
7;12339.206677798098
8;12438.351720275308
9;12372.818351521306
10;12394.159479179656
11;12435.526243130527
12;12361.591728368574
13;12396.592230783326
14;12399.02651390455
15;12432.786483397012
16;12442.552801482398
17;12371.191342375785
18;12406.000451920016
19;12409.545146949744
20;12405.234553602757
21;12337.687642286988
22;12365.269765334137
23;12427.51922329031
24;12414.13166855794
25;12307.382393018419
26;12457.337555952072
27;12384.1407970092
28;12366.37723618958
29;12405.454702501484
30;12390.081241570093
31;12399.379709263982
32;12390.366397419444
33;12344.495432941638
34;12385.390924906018
35;12409.06790846074
36;12381.517532965334
37;12334.127490518978
38;12434.21598379651
39;12402.975092668448
40;12378.739411823475
41;12430.350922832095
42;12397.30880961493
43;12370.978685594984
44;12282.464424252195
45;12423.050870473726
46;12401.204644843046
47;12384.53038167134
48;12436.103010709103
49;12410.334371724395
50;12384.569556872702
51;12371.736051346137
52;12382.419674475494
53;12468.893815997892
54;12341.633204610696
55;12396.06365828143
56;12389.890938011551
57;12382.830329561182
58;12376.199649096932
59;12363.054415924576
60;12459.666737427338
61;12373.012329111676
62;12334.33045975972
63;12477.341742160359
64;12389.09939788192
65;12309.659550496785
66;12461.126533369887
67;12432.590032391134
68;12347.31664607616
69;12370.231527782214
70;12324.063497555997
71;12405.833974462626
72;12377.371126288794
73;12396.824392656308
74;12364.466927652373
75;12372.418638787352
76;12408.249891073225
77;12320.545022909646
78;12391.7799842261
79;12351.90220573099
80;12325.975554210772
81;12346.252913851931
82;12333.637221125728
83;12416.835889466936
84;12371.416955938752
85;12408.614469663587
86;12434.439563473597
87;12404.006395256127
88;12383.735670187789
89;12443.204399468861
90;12436.746121883303
91;12463.889398319974
92;12410.557325235879
93;12368.623584053965
94;12362.29979703077
95;12396.756782102455
96;12340.233626771838
97;12412.774170418306
98;12401.053841404097
99;12351.817004080225
100;12448.140160636991
101;12471.585092105492
102;12372.085852611517
103;12313.57313869004
104;12333.037555141995
105;12262.892909922713
106;12409.880067415943
107;12355.059222194748
108;12345.080342988786
109;12403.257946689733
110;12313.043523193639
111;12462.62885241038
112;12354.258116191237
113;12432.56774819321
114;12375.057617538218
115;12386.554467786278
116;12400.954097791402
117;12360.479043849598
118;12436.500709386604
119;12375.501280201015
120;12428.470030687906
121;12384.813263021579
122;12417.417785659678
123;12409.768335276447
124;12457.232095210593
125;12325.483863355385
126;12358.231244259674
127;12361.20245466096
128;12381.197733400479
129;12414.421252700278
130;12472.02289998751
131;12407.298422169099
132;12431.35368249166
133;12354.370119416562
134;12419.44462990016
135;12414.021458711484
136;12446.006428386803
137;12364.484325436926
138;12394.814607728895
139;12400.347481879544
140;12289.442713160935
141;12380.740800478701
142;12323.03884880753
143;12430.124628495952
144;12431.92308814129
145;12342.367696415293
146;12393.107290612665
147;12209.637745125714
148;12396.383048087018
149;12434.056911214684
150;12413.367480864976
151;12338.351200346466
152;12423.182529639196
153;12412.428353266663
154;12353.523140560608
155;12428.501454389243
156;12317.109491053094
157;12513.080113339365
158;12446.134760105242
159;12343.489897152382
160;12439.386187289652
161;12339.872589616201
162;12421.043371315789
163;12438.600850197323
164;12433.225370663655
165;12375.335874383853
166;12387.14995715998
167;12321.849414669347
168;12329.006855214588
169;12393.072082455607
170;12412.759491757774
171;12311.710288360176
172;12404.866983953483
173;12442.08629611457
174;12273.823507924893
175;12404.951820850389
176;12428.257077761355
177;12373.769025035048
178;12405.932260672995
179;12317.904753719587
180;12388.924239056652
181;12438.543522771623
182;12395.069323514848
183;12417.942856311887
184;12313.792948834442
185;12425.053377353834
186;12399.652098318384
187;12400.443544013055
188;12383.564037974302
189;12433.077601721676
190;12413.27233421463
191;12420.230523761426
192;12345.134672172742
193;12366.733766181433
194;12374.2372408232
195;12416.328576410502
196;12453.353284654811
197;12398.956024064006
198;12403.270962023564
199;12430.485347997399
200;12356.615804645868
201;12382.06350374539
202;12390.463667360957
203;12429.783862581202
204;12378.800500943646
205;12429.588724994577
206;12394.101916440239
207;12438.053817156333
208;12340.108071391749
209;12299.049836971357
210;12313.130833840934
211;12372.591996280422
212;12412.632736782654
213;12359.263278256727
214;12375.803780961349
215;12375.65857199895
216;12402.546574516458
217;12400.317273893286
218;12321.665805993782
219;12401.545911745168
220;12420.03764116311
221;12382.621383737802
222;12422.919335929275
223;12350.658554552983
224;12410.734481626707
225;12380.74857700259
226;12411.620052527616
227;12339.010497552417
228;12334.0347807379
229;12414.316447282064
230;12337.446657493452
231;12425.468364728602
232;12369.147024677644
233;12306.576582698079
234;12372.293143382312
235;12446.923390958862
236;12392.578712289636
237;12437.08324375867
238;12448.117543397755
239;12404.729014296869
240;12436.863042505809
241;12444.517931289962
242;12403.449279952381
243;12430.982167465225
244;12358.577349272171
245;12421.842231256116
246;12446.48060606486
247;12329.148120457412
248;12407.627721353885
249;12357.28165899703
250;12426.843988626557
Mean;12389.257692267436
Stddev;43.524613500333245
