Experiment;Best solution DE
1;19227.01225377278
2;16485.477894437827
3;15420.330822304499
4;15406.85590437287
5;18877.215470032017
6;16899.389252958295
7;18063.4863979942
8;14189.291539756114
9;18848.736914348647
10;16492.062369067622
11;15841.606390283227
12;17340.42497074146
13;15004.554224619975
14;17403.282175066073
15;15137.812945663169
16;18374.254917454473
17;13557.391791283508
18;14213.056128381379
19;17885.383372727818
20;16991.19141709537
21;16201.640298705106
22;17394.16272901755
23;16865.28151583144
24;20091.252019047126
25;15968.626103749979
26;17425.401778705575
27;11888.149393731172
28;16513.354002067794
29;14219.234765787869
30;17457.14181865891
31;14362.782799526502
32;13539.920840719116
33;16137.713370317259
34;19061.65339142938
35;14611.172858457243
36;16749.105865895093
37;17228.759048603963
38;18496.16918644923
39;17315.71916087862
40;15775.806945117843
41;15219.016678618409
42;13793.681124474822
43;16873.81866335317
44;17587.719441797984
45;16590.62811160236
46;16586.772881763947
47;16734.95101686306
48;12123.70234398864
49;16615.971558949757
50;18969.118636446095
51;15950.509178233311
52;11313.339146554908
53;19039.803427489973
54;14178.151697328072
55;19225.170960686224
56;14650.650594889197
57;18420.033523031976
58;16760.494470701862
59;17942.20465893312
60;21323.103498423174
61;17530.285782596548
62;17732.196506968357
63;17033.11345244229
64;14915.98650270286
65;17193.99359149169
66;13086.496486902186
67;10772.392604410272
68;16832.316517929616
69;18257.418194879618
70;17383.934597405838
71;14606.561107869187
72;18200.021893990404
73;16544.00945064949
74;14753.332645177401
75;16350.250141630235
76;19189.98670715754
77;14708.613239168884
78;17415.285661081838
79;17359.436239418286
80;15748.104208808842
81;15776.736168791065
82;19208.97960299681
83;16468.285859828036
84;16769.72231221742
85;14777.217584437687
86;20465.965658184847
87;20264.6280965627
88;18171.28106276258
89;15355.500082247734
90;16593.22536658601
91;18027.062725714255
92;15536.140215772923
93;14561.560042844145
94;16967.755862370766
95;19063.692327066165
96;17410.44525887012
97;17988.512537124567
98;17902.690294143053
99;17927.03955612104
100;12792.518721238814
101;20790.596917716623
102;19616.339892148575
103;16072.908540273942
104;17114.246705273632
105;7888.195619353599
106;15610.847512659064
107;15722.895833451623
108;18107.87421983237
109;10367.244907628547
110;17530.89371080348
111;16524.27925021767
112;18948.364574656207
113;15174.97220900563
114;16701.710966718765
115;14123.706809750298
116;16092.188534400051
117;17670.526416506087
118;16031.320026946623
119;13965.37451238789
120;16520.061796088787
121;17827.227031032053
122;13140.702981402039
123;16595.799149346072
124;14748.893936082492
125;13866.782264697742
126;18602.067209764227
127;15585.184056854974
128;18040.301737020447
129;16675.8423398274
130;17025.383961428037
131;18424.551739150833
132;18061.027437662808
133;15820.179063896236
134;14995.363506609508
135;16721.765431751304
136;17643.81019411706
137;15405.364730738356
138;17791.55772455702
139;15499.22223359889
140;15830.862378793572
141;16616.283705179787
142;14532.671293906838
143;17965.11825687135
144;19036.51697687156
145;16418.97913111423
146;15304.86697182608
147;17114.16105233428
148;13006.87175180505
149;17739.830023528655
150;18342.857435171187
151;17868.919304727147
152;15729.189169226245
153;18537.573793641335
154;14272.472649822537
155;15103.465248235458
156;14853.836994566835
157;18475.860120782923
158;16144.068924452227
159;12314.091046654026
160;15988.19301438979
161;19154.302929268506
162;16220.890936854858
163;18832.437521802658
164;17642.431785332363
165;15879.49047444996
166;17840.54321024262
167;17769.954603069527
168;17196.381927187052
169;14964.649762680974
170;18252.431232608007
171;18755.18604176049
172;17077.509336043087
173;19187.935461059136
174;18949.171992866897
175;19974.348160732006
176;18931.484989688666
177;20993.271885478538
178;16108.987712288332
179;19743.48714358994
180;17070.74592669415
181;13796.840830149431
182;19600.891023446453
183;18845.156872057618
184;17277.016175508932
185;15796.058402094879
186;17523.600881962288
187;17313.39977847543
188;15984.969417910253
189;17915.130045141723
190;19040.408705959275
191;15638.568798346701
192;15347.176312167796
193;14823.673086118495
194;16016.370332339664
195;17807.398688065205
196;19392.017031833457
197;13801.63541898975
198;16718.37368200148
199;18441.68824732009
200;16100.374564097527
201;19716.80535455281
202;17066.489857976314
203;17911.89095066048
204;19024.179411366513
205;18034.46887073395
206;17988.121730277515
207;10093.543728750044
208;14873.41100942291
209;15651.539779644352
210;15573.540170976183
211;17297.315377521398
212;19331.039439476644
213;18038.79755250129
214;15754.730775101589
215;16268.514539878535
216;18428.808845108542
217;18050.082613320876
218;17224.215135449682
219;14207.72661412338
220;17777.256820996936
221;15869.84465899807
222;15603.281932358737
223;17110.92477426305
224;14950.786334219085
225;16126.77438271921
226;15158.62907817636
227;17286.351965368056
228;14001.785440774673
229;16899.07554871728
230;15666.664865420757
231;14967.845434973
232;11358.059392261906
233;17492.703759707365
234;16014.725097222054
235;18240.708668834734
236;15070.781619574818
237;17890.11307063543
238;16824.120361008656
239;17103.06383308009
240;19411.458336460455
241;18096.86652000456
242;17891.301357740525
243;19416.029875546752
244;17596.745419217532
245;14555.18041263554
246;15223.402411549365
247;17515.98130225423
248;16187.609449562442
249;17956.538427407068
250;16761.831318931872
Mean;16644.13488564862
Stddev;2002.1305024908575
