Experiment;Best solution DE
1;88465505352.00328
2;81171872862.11827
3;184991689378.56274
4;167355618799.76654
5;121057769828.1763
6;163814890800.2335
7;170942577824.71542
8;147473952821.7299
9;86399408079.33978
10;109357482891.70662
11;155062549785.94443
12;73579528647.89838
13;121688876967.05534
14;156166350081.60947
15;54810327652.35756
16;158081790838.84253
17;168968162764.7225
18;105319911415.38759
19;119881071830.68938
20;66354671277.06779
21;141881191400.5439
22;158464136092.6467
23;125462286879.827
24;143682162861.8578
25;78170719940.47287
26;157635366289.64282
27;117291609762.44907
28;158587151185.8303
29;102513534595.93016
30;111101357442.34004
31;127688462012.0409
32;46740243795.8264
33;113765559390.96892
34;139907649951.40155
35;104170035725.98952
36;120714586913.93817
37;133227546240.70973
38;110572741838.52132
39;102897291396.85718
40;105094259981.9997
41;141055434166.02933
42;199044888558.84106
43;102829746550.69272
44;239826715681.72528
45;101732175785.65536
46;92387261185.75334
47;199914901044.63153
48;97080585371.69774
49;87349093963.55132
50;65866153309.88855
51;93244109142.92288
52;111555954846.63977
53;138187185275.78625
54;165587021393.0724
55;117315409280.33545
56;101772134232.33723
57;108239155567.02579
58;107880918642.39958
59;217074853192.24832
60;133438074577.80869
61;61128047413.80206
62;118377166491.94357
63;148826057626.88086
64;168544287056.20905
65;156281332131.56293
66;154518679379.47388
67;209999626983.35306
68;104919350680.68413
69;164281933965.0977
70;79015680296.40056
71;107534631667.6183
72;226548673234.50595
73;175575822993.18054
74;141795505849.4172
75;165344614063.67188
76;205199866542.90408
77;148491016221.63965
78;134331837045.43106
79;168884883147.66177
80;178823964234.2942
81;148043945492.19977
82;105390660008.69092
83;143297964606.72318
84;107171620419.5171
85;232256299650.94022
86;180690461226.31326
87;170629839812.86655
88;224119513196.12845
89;203231072686.1136
90;164783575795.68362
91;102944521900.973
92;153471852611.8406
93;160590250691.55417
94;152850740630.67386
95;186507250363.85022
96;90751867148.91017
97;144335246169.89545
98;121194026518.47476
99;183594235288.3611
100;126049670674.50427
101;122126108353.62003
102;139265622475.90396
103;79367808059.56026
104;127644663215.88635
105;137750858295.21335
106;114228296578.10034
107;164026735053.72037
108;127006114805.57594
109;115522608707.32704
110;106095617945.36574
111;182106631067.05728
112;150668408287.11298
113;132347825417.61952
114;158267607515.55832
115;123665561914.01237
116;167963911238.7117
117;113914052929.99748
118;104604447571.80966
119;184055796223.4941
120;124687803732.91095
121;152754681699.80173
122;113893066273.85335
123;127108114586.0776
124;76799356699.09024
125;133443272706.66626
126;204737818749.72513
127;203938390587.7677
128;130400004371.5039
129;160506154237.85886
130;106015580556.52603
131;157422337116.93936
132;105013764218.8027
133;73473008000.56615
134;73066849096.40826
135;146666230716.71304
136;96525399741.24474
137;165726869390.428
138;86575216913.99763
139;121136517062.78477
140;110799412770.02863
141;130813314078.04951
142;105198306407.75822
143;177751648199.11514
144;170828789134.8238
145;214824284593.78708
146;154579342366.51367
147;152364301334.38443
148;55528321283.09824
149;89739287149.36511
150;103642587786.39658
151;126215407872.44382
152;130199520530.58168
153;89303559428.49695
154;138160648961.83878
155;196835054040.22015
156;116097721310.49857
157;127369596031.30252
158;150239476333.31622
159;163514143973.92706
160;123104588728.87482
161;175268672872.10452
162;112286552686.07135
163;166183939528.79272
164;163464119215.92688
165;171194542983.66498
166;62242037780.3764
167;215211940554.2926
168;134113609831.30469
169;102174895976.28632
170;145279938728.27826
171;150763551964.09036
172;118862842629.51205
173;173823552286.1318
174;175992812557.34067
175;159428241836.15692
176;121722338686.84128
177;175490634460.42035
178;149365882759.8514
179;126049895913.37088
180;144973960941.60117
181;109763359241.92152
182;147489830783.68716
183;175482571119.33688
184;123012522876.01286
185;87636983927.36717
186;98291098357.7121
187;108396122090.64017
188;173372563980.47128
189;278094160853.53815
190;133442586373.147
191;116613398695.3571
192;50919760464.7938
193;124394976717.89569
194;140361750838.3355
195;108580701702.61519
196;130828666770.62146
197;209211794192.60812
198;130995654193.51482
199;121234161070.4555
200;147768680811.53976
201;138329608100.84775
202;139912919752.4283
203;194072532463.38565
204;194357103904.26154
205;199214300992.69955
206;98803032680.39558
207;157705278173.01642
208;171630787000.9735
209;202927140874.5915
210;161582543228.17407
211;90487506949.2243
212;122154952270.03032
213;202252587348.66354
214;209063393077.69946
215;133505603669.94868
216;112290392857.5756
217;90438143671.9387
218;135782885137.96288
219;180365668253.1122
220;163856238222.1228
221;81973434339.49469
222;153165275344.84204
223;126503086393.34065
224;146815274682.88312
225;91739754604.65149
226;132222404365.62683
227;153479638390.82907
228;150858290861.22235
229;129744506044.16057
230;119332048130.92683
231;206699711675.6007
232;181848495730.4843
233;168687675603.10733
234;95558713952.90025
235;155007425164.75638
236;99938947995.25812
237;114495348079.98415
238;238012496611.86322
239;171388639939.29492
240;129862227881.04369
241;112753359739.92766
242;283520248625.3288
243;196698621186.2321
244;98805787429.67139
245;50440784928.29424
246;124868983923.46014
247;151030003311.73846
248;211788960852.483
249;59620677379.69349
250;118958821433.58426
Mean;138376749056.81818
Stddev;41176572851.48537
