Experiment;Best solution FA
1;5.020376659164402
2;4.6748784270045025
3;5.627476653964523
4;4.865462883049272
5;5.656438251928498
6;4.930101355055518
7;5.047097149757707
8;5.199843455909281
9;5.278190140541314
10;5.327356280790808
11;5.46565842901423
12;4.111268084882775
13;4.76229322037595
14;5.653508256872312
15;4.207652017102113
16;5.305749974195197
17;5.728752026406624
18;5.590102832657151
19;4.818281996823955
20;5.402123537160246
21;5.640981986184256
22;4.978243660891996
23;5.750025418306057
24;4.815514039184226
25;5.558245887680755
26;5.218681478526857
27;6.11634514778387
28;5.450012950347533
29;5.803851188471934
30;4.8097705903895
31;4.9893688736487265
32;5.727704642596134
33;4.746465594333742
34;4.537149719634591
35;4.590125246487625
36;4.5887748562627335
37;5.295806102062863
38;5.380941550673981
39;5.579877930174139
40;4.999359104531153
41;5.612311586479764
42;5.97767158638606
43;4.940372633398801
44;5.568400727143308
45;5.8849717545472
46;5.350792881299237
47;4.381993578044806
48;5.415805846800661
49;5.9404320202494025
50;6.2722867886831235
51;5.000291308162879
52;5.469020692106324
53;5.98185005933437
54;5.700005961088015
55;4.989943696014608
56;5.453613478212477
57;4.096987089395849
58;5.321767405122887
59;5.044954672564858
60;4.203715186247852
61;5.473628741086007
62;4.900984100853314
63;5.514737396198496
64;4.736252111748272
65;5.432054081144408
66;5.590479189223835
67;5.741278394464424
68;3.923961079373073
69;5.494694379173258
70;5.363420496876501
71;4.973216221456901
72;5.143707863306962
73;4.955451394478041
74;5.309291400645345
75;4.913703621758417
76;5.511654527318139
77;5.171773979381737
78;5.263589302430571
79;5.099406119066916
80;4.996254469099254
81;5.107235980383231
82;5.064066598743689
83;6.015736327237143
84;4.894084310538061
85;4.905117398944825
86;5.52372595530042
87;5.238926884248094
88;5.556963160254794
89;4.260502030595524
90;4.519161340065489
91;5.743369604840714
92;5.385720232508828
93;4.106991120414795
94;4.881801739584262
95;5.494709542910279
96;4.157356089916865
97;5.315947728600194
98;4.548174540253873
99;4.851514437636016
100;5.407031650447515
101;4.752724426872021
102;4.727738564561501
103;5.315890885745679
104;4.437094349577848
105;5.299768195905162
106;5.812866698520254
107;5.475842749257754
108;4.521646426734241
109;5.556586271198181
110;5.310251551183559
111;5.449650376892537
112;4.703512508315565
113;4.716765017003638
114;5.03764787021187
115;5.578516854202736
116;5.2387635818007245
117;5.335330291839985
118;5.385149238276359
119;5.098255527796923
120;5.486477266818879
121;5.11959360619751
122;4.894135092753848
123;5.109810784955403
124;4.4363875658878245
125;5.375965724734123
126;5.592361753534302
127;5.2073956113075015
128;5.759760825920149
129;5.355255419381518
130;5.465905091737064
131;5.182821519417749
132;5.153109398630347
133;4.71452896847914
134;5.779044539257004
135;4.770702648889227
136;5.768116599613457
137;4.251682354885984
138;5.667848391501986
139;5.573246551386859
140;5.984111573586247
141;4.5732320888348355
142;5.715232289446417
143;4.6892491506969005
144;5.397814333487017
145;4.11432819680019
146;5.181434984266319
147;4.8946752584176085
148;5.275119311952319
149;5.987174588758657
150;4.938433987470343
151;5.729260689777978
152;5.298804367652433
153;5.965347065099673
154;5.403280644773207
155;4.929501228615704
156;4.634081780085841
157;5.406347424868074
158;5.329500827777403
159;4.431267004413119
160;6.088911833912538
161;4.454379251462839
162;4.843879121169711
163;5.387567033108825
164;4.548889591180737
165;4.318604983459295
166;5.1764831228079276
167;5.456498369720926
168;5.286343397699553
169;4.947130803355691
170;5.379816381901651
171;5.301764163855397
172;5.405259038134659
173;5.629808403423857
174;5.780728181147216
175;5.584776320539645
176;5.623454710435071
177;5.689249896805504
178;4.9341587847407915
179;5.499981773322572
180;5.624181756643284
181;4.851597258673559
182;5.660285991063037
183;5.214957631268555
184;5.0480285644423155
185;4.988804006909881
186;5.984104181223689
187;5.959120238895101
188;5.471389248871212
189;5.059339810530673
190;5.281633585241707
191;5.901152498948407
192;5.515836081378663
193;6.091956522807221
194;5.010237962602585
195;5.317081183577738
196;5.581026909839598
197;5.478962178698399
198;5.193950378166927
199;4.836073390728334
200;5.027134843083728
201;5.365356673353237
202;5.453626240602351
203;5.595097081348045
204;4.358867986688276
205;5.943488212933917
206;5.582807371280893
207;5.510419255997053
208;5.596196761299347
209;5.498100155710247
210;5.842515164037075
211;5.001558231962637
212;5.5341498138110685
213;4.854321773439992
214;5.313005126326265
215;4.835788376176746
216;4.9136540188957945
217;5.70168263800787
218;5.453851626133285
219;4.141620560156591
220;5.365940782765315
221;5.971256313634729
222;5.092558526656278
223;5.007509862753388
224;4.822477641224724
225;5.498909241411335
226;5.199529537910086
227;4.942839512697674
228;5.062324363087285
229;4.658528795605731
230;4.557043469068244
231;5.12539566519378
232;4.966622005797047
233;4.7244585787952005
234;5.297567237021407
235;6.230011496488912
236;4.633569711084414
237;4.350907943605094
238;4.88852605673211
239;4.645852376233069
240;5.706534414820377
241;4.952923010949676
242;6.115724347500364
243;4.78319167491013
244;5.882961232388493
245;5.01004468582576
246;4.824492867899158
247;5.200360577542459
248;5.309703734385185
249;5.6303468385961555
250;5.440181358786567
Mean;5.213880041231586
Stddev;0.47110760897213094
