Experiment;Best solution FA
1;5999.274335362852
2;6987.244749859779
3;6103.296679430118
4;6773.6359896793665
5;4853.541832144822
6;6060.359487434729
7;5658.453962110624
8;4970.262421544398
9;5783.1889412646815
10;5419.7929792032655
11;4495.232502010622
12;6021.320529961722
13;6354.207312155514
14;7745.355273319203
15;6260.275011416499
16;5926.005618259052
17;6020.405954989418
18;6340.375410412435
19;5880.077115362872
20;6961.382031949336
21;6305.63385789728
22;5520.788400068057
23;6545.636221499473
24;5727.662547111502
25;6632.193841408214
26;7805.176136685849
27;7179.011578470199
28;5127.185421038818
29;6380.814599718314
30;5957.4591018514175
31;5187.708991537118
32;5487.2593408483835
33;6587.305823441326
34;6462.156266707625
35;5434.939708366337
36;4050.98357378515
37;6252.1088835877545
38;5516.898652547492
39;6084.758666758898
40;6292.716530186014
41;5055.377600131039
42;6749.927471918114
43;6129.5338599082015
44;6731.843733983733
45;8239.502428036514
46;5396.793667490887
47;6319.0678416639885
48;6556.861774786419
49;6289.203866429107
50;5021.43163222729
51;6124.000431333929
52;6364.68234412209
53;5283.662739192705
54;5135.826306948098
55;3860.071477585655
56;6616.1349885689315
57;6325.439710440104
58;5158.267468275127
59;7001.80874118062
60;6791.394056575988
61;5334.728169535826
62;5324.334192095479
63;5357.909845472661
64;6216.848062717018
65;5655.321374740545
66;5880.433848061775
67;6577.263456625907
68;6776.557335888071
69;6052.438483537676
70;5209.902589883397
71;5980.603008037078
72;6405.360718361673
73;5647.966716959539
74;6727.511797077162
75;6108.699628379915
76;5177.645270533007
77;6087.544922557412
78;6853.196257667899
79;6520.613915129522
80;7026.6322986954565
81;4916.849887727871
82;7347.213462321289
83;6226.564999681124
84;6001.533107585361
85;5084.598075993927
86;6529.6039975552985
87;6564.63468315096
88;7128.24976573561
89;5135.309493839125
90;7206.082609164306
91;4436.070293852576
92;6180.898933938458
93;6296.699026436871
94;5672.60383623973
95;6680.019454822821
96;6396.701702162622
97;6018.854261647408
98;6529.682924811004
99;5751.350083532761
100;4673.787188913672
101;6227.493459211864
102;5849.722548546288
103;7454.793069523039
104;5142.7964778661935
105;5125.974911459181
106;6835.738649533585
107;4803.732521090858
108;6460.7782668909285
109;5582.254657265143
110;4943.377195177192
111;6083.520648389559
112;5189.496376709664
113;5893.087065514369
114;7290.6218526956345
115;3808.668427738014
116;6042.981351219942
117;6874.013776762628
118;6930.543852728332
119;6399.316975773691
120;5942.985102271826
121;5659.295651118483
122;6385.711360210818
123;4108.508319897363
124;7492.46762898989
125;5596.360961816884
126;6508.348297938542
127;4529.427580472018
128;7297.598028081884
129;5781.823229053038
130;6181.669411519608
131;5633.127315439267
132;5123.012759590034
133;6260.9459793973
134;4818.1618543525465
135;5388.722046576753
136;5110.840182396695
137;7011.897404411349
138;6934.030412565875
139;7280.989842617148
140;6764.0682018839325
141;6241.637381574004
142;6013.907567131344
143;5750.213238327939
144;7064.523904394127
145;6079.9526439252095
146;7818.74097594964
147;4990.27779614371
148;6519.4677613742515
149;6448.364155670568
150;6429.566301376103
151;4872.81999821817
152;5781.53529930746
153;4552.597185067656
154;6845.074233593704
155;6879.024973916055
156;6196.612856376949
157;5166.566223802523
158;7567.96850488364
159;4093.6669529019428
160;6095.618831485494
161;5828.652277496931
162;5742.084435582061
163;4521.419623129412
164;6650.6348009812455
165;5714.855496788287
166;4346.755812809613
167;6263.235958323176
168;6040.155239510237
169;6662.080809600696
170;7107.623660937579
171;6449.932920225108
172;5574.498694771459
173;6925.095022045437
174;6155.28540993569
175;4203.942728886682
176;5922.7208436586225
177;4883.998347955226
178;6060.225771818498
179;4013.457111671907
180;6192.637808963715
181;4414.670307262411
182;7631.70679394373
183;6056.486213024626
184;4940.772467100664
185;5389.100055864334
186;6617.80514576219
187;7360.319227063803
188;6435.508603166849
189;6691.612223426014
190;6285.80232728884
191;5577.391547807367
192;7313.592116777919
193;5120.689402135437
194;6382.842394912952
195;4667.766285575772
196;2629.448753049887
197;5453.299253755204
198;4808.246199267227
199;5805.394852083688
200;6222.453190305585
201;6757.089751092396
202;6401.354670785086
203;6081.418137968393
204;6984.247611717598
205;6803.817189524795
206;6110.209587367414
207;6310.809552324774
208;5963.319853235037
209;6371.352466829444
210;4712.305960784857
211;6385.468176486812
212;4864.714275795152
213;4972.628982160459
214;6037.471378940492
215;4858.918313384638
216;6232.050318015254
217;6500.39830099873
218;6284.21650560565
219;6148.936113004732
220;6016.072132878429
221;6486.172165300232
222;4673.634279979789
223;6668.798320802138
224;5394.775750366717
225;5183.673503615018
226;5880.012957505002
227;6940.530147630995
228;6235.723532566366
229;5222.355920187027
230;6047.972084181861
231;6464.987404024546
232;6604.439988007895
233;4894.965384821268
234;6672.115929360108
235;5325.855508012769
236;5877.305816404337
237;4703.311375409725
238;4801.1976547529075
239;6565.826089987586
240;6378.771670946022
241;6332.156905262148
242;6438.690660379423
243;6964.6647963228825
244;6503.46489414666
245;5106.513178887038
246;6733.417313538781
247;6515.626839855795
248;6263.08344179201
249;7032.365651888678
250;5986.926267746083
Mean;5987.67645356248
Stddev;853.2263272911579
