Experiment;Best solution FA
1;-2.469755803906962
2;-1.826937188542573
3;-2.6943967058752976
4;-2.3692382758683332
5;-2.256197301062858
6;-2.3186967338165956
7;-1.9564403292395447
8;-2.645248583593829
9;-3.021599922007154
10;-2.528520640713183
11;-2.885460856003652
12;-2.8327744417302343
13;-2.60465771057505
14;-1.9707169147094565
15;-2.988269221475153
16;-2.386788390699786
17;-2.497119983582868
18;-2.548536879966793
19;-2.323196960648079
20;-2.4554166764245275
21;-4.609208024650285
22;-1.5569643490687226
23;-3.0730123604786037
24;-4.834242350794447
25;-2.7383939232566905
26;-3.4141338665591454
27;-1.9542680770217988
28;-2.98632338999875
29;-2.6599516070459535
30;-2.3684791967271877
31;-2.878637148551815
32;-2.0690107825346806
33;-3.2198897795923163
34;-2.8753321154855835
35;-2.898012244894644
36;-3.3664553958747145
37;-2.440012225033898
38;-3.1588500091788823
39;-2.82264164884912
40;-3.4349342770639724
41;-2.0090260381656266
42;-2.3055976191309067
43;-2.5130739759254626
44;-3.968862354072212
45;-2.685609605247499
46;-2.1463674477344066
47;-2.7391028074600023
48;-1.8433142699001615
49;-3.29668878938301
50;-3.6385807132483032
51;-1.7646720375770215
52;-3.178879430962455
53;-2.3916192392793145
54;-3.2258190758234484
55;-2.842695709016394
56;-2.219506021046872
57;-2.6511459707544502
58;-2.958240310575548
59;-2.2459829567017566
60;-2.2545002754657886
61;-2.875381407472127
62;-3.1662236608528898
63;-3.1524884877166026
64;-2.035052869651589
65;-3.0541023414305766
66;-2.8445574264562685
67;-2.3241439720286436
68;-2.50608665019399
69;-2.8625651594479886
70;-3.9178577886228956
71;-2.8453464354420737
72;-3.316822732014961
73;-3.5076320913931043
74;-3.402621066110712
75;-2.784381039669453
76;-2.131789447041085
77;-2.6625494544812947
78;-2.263560092728554
79;-3.8276136532829512
80;-2.903630184932102
81;-2.7401566007366585
82;-2.0494853941816427
83;-2.1761602997025418
84;-3.2316874248469407
85;-3.592113175363408
86;-2.2495834636524394
87;-2.2453675973936114
88;-2.744223081843949
89;-1.879053111572891
90;-3.264117271519975
91;-1.881244152875119
92;-3.7415967293897516
93;-4.536534434957655
94;-2.1700939644479
95;-4.046060546423642
96;-3.6667627688960835
97;-3.0766368576904903
98;-2.072665546059652
99;-1.2429313092483099
