Experiment;Best solution FA
1;14505.797199986031
2;16867.506194466994
3;19972.52530433712
4;16615.55945000115
5;19085.22431212097
6;15486.61685045214
7;16770.419339128166
8;15933.832354878621
9;14102.005786647438
10;17983.863806201814
11;17546.869889659236
12;16113.554464080687
13;13126.737386484629
14;14348.333987287246
15;13777.08567562966
16;15416.399827632686
17;17681.108170107163
18;17801.142493932755
19;17342.583173926116
20;19403.85450245173
21;17469.0993637024
22;16299.080406949879
23;18430.06407776581
24;18651.42740806593
25;19263.028492146645
26;18603.901985560624
27;13636.819136609629
28;16535.632305143667
29;13388.811965915487
30;16532.356592109347
31;17547.448505833716
32;21453.459344631636
33;19490.122466087632
34;17705.480808138116
35;18223.856697070343
36;19771.230008345694
37;14783.43795145185
38;15083.385239521918
39;16410.00569509637
40;18852.963759709648
41;18886.303944723237
42;15945.766487587782
43;14413.58284898494
44;16786.60748613242
45;18470.975164265954
46;17458.717297580126
47;20325.420976731577
48;17922.881525729787
49;19621.622271175875
50;17238.675664208615
51;14664.348488068175
52;18890.285872047592
53;16062.49088162394
54;18323.754628638926
55;15627.32603466441
56;19085.053300439075
57;19532.443933333976
58;15094.071819579693
59;15270.26436013354
60;17968.938509960084
61;15717.700000227109
62;16971.166647054204
63;16210.415034197105
64;15089.900518115186
65;18404.741773420188
66;17748.809981113798
67;14141.507713109135
68;19132.56120869427
69;20584.84255346743
70;14321.924948983093
71;17450.247132617038
72;18665.204226654983
73;16680.77852180582
74;15854.499828413866
75;20498.811639237236
76;18966.154717976147
77;18951.039012667803
78;18923.102256969923
79;16853.680010291144
80;17759.967263994407
81;15413.740335637478
82;18219.08888011434
83;17600.11349157961
84;18050.729617649846
85;19676.881232376923
86;18398.68814964552
87;18586.78652716658
88;17431.298539885498
89;18401.531377746553
90;14042.515266018014
91;20185.000129150765
92;17996.64643854215
93;18052.888764858348
94;16082.112346227927
95;17943.93808277531
96;16468.63808701888
97;16820.286616835154
98;18170.843739772256
99;19649.669764168375
100;17076.01005684063
101;16650.065738331796
102;16842.767625226526
103;19521.97416974212
104;14988.880467788902
105;17778.097281489987
106;19403.072491775212
107;14134.488550914642
108;16371.235137928694
109;14777.274685474305
110;15768.340708930038
111;17751.713928902947
112;17878.586377010477
113;17065.33805039244
114;15965.822575772674
115;18629.21744729798
116;17299.00010935998
117;20188.021800141796
118;17541.333974456535
119;17881.636278283953
120;17737.65640951766
121;15652.434533748303
122;15042.890970806462
123;18381.809409120466
124;18233.824237426074
125;17962.052677356274
126;18316.52576596982
127;16504.631056231916
128;14625.985376316949
129;14722.27912179288
130;18927.084098421983
131;16138.32671934188
132;17250.68409317786
133;19334.131787109032
134;18519.803136302813
135;15304.69476275257
136;16701.03241224782
137;15523.062881538133
138;15324.797301827679
139;18110.038477436654
140;13566.602087771462
141;16987.539086191613
142;17703.4070684498
143;19713.251749293806
144;18076.684276853674
145;18455.889666885796
146;14988.041067578488
147;17377.58221177227
148;15690.09298815635
149;16790.86527127273
150;14393.04033750158
151;19015.291814088134
152;13730.65562288535
153;18408.251521619666
154;19931.16896033313
155;17243.402394863613
156;12886.790496442396
157;16352.0893725781
158;16933.258786028535
159;14749.925401338854
160;19443.469269885085
161;14108.701379573378
162;14938.49014550445
163;17678.853854290308
164;19342.224193322505
165;18139.368649201315
166;17987.129930545118
167;14050.128504355418
168;14891.205423253863
169;18244.541184520625
170;15126.07356815618
171;17900.089422424637
172;16612.32090219626
173;16873.27866336402
174;18251.962398198
175;18815.34121075391
176;18047.947663904164
177;20271.38344446655
178;19265.83564504526
179;15880.72779153483
180;15277.684132541091
181;17029.33149259461
182;14422.262388234216
183;18759.78435694535
184;18854.213233967326
185;13924.143573526087
186;19634.686373167086
187;16232.595526383411
188;16975.959932710437
189;18608.03977911351
190;15626.52570156608
191;19030.021036722344
192;15841.723607416341
193;17263.27959643129
194;18361.544413063377
195;19225.014700011052
196;18499.00620916015
197;17257.30837508919
198;18188.70614424068
199;16198.568287264914
200;17206.73796693269
201;18986.87093460089
202;17710.467413887694
203;19821.083156534965
204;16309.407779004796
205;17476.56273413652
206;18617.42547753231
207;18072.005957874328
208;15484.969053088993
209;15600.487093270884
210;17420.246260173368
211;18712.433029368905
212;17387.651146736018
213;17308.168647291943
214;17015.21210379353
215;18905.14907644987
216;13758.763044718286
217;18554.45679544822
218;16039.880936868909
219;19682.47556247243
220;15094.254315831791
221;18616.34696039829
222;16703.657687473522
223;17097.234127611147
224;17332.160188895297
225;18758.392784502434
226;13668.44481893515
227;14905.745172551693
228;13129.984585859585
229;15789.549205118657
230;21450.117689854887
231;16736.358391322196
232;18552.7392721317
233;17998.424976689228
234;17587.395889489024
235;17516.878205656187
236;18999.34796938741
237;15479.460692863031
238;16072.552342902425
239;17615.884642994366
240;16409.12878938835
241;16412.726028208228
242;18265.33553653709
243;16005.252278726723
244;15295.30326579443
245;16767.727868314367
246;20640.09099096457
247;20100.64910098574
248;17694.41904068942
249;18541.777099650066
250;17980.83167424362
Mean;17203.636667945077
Stddev;1779.2482883387806
