Experiment;Best solution FA
1;2029387396.2777746
2;1844440718.1429138
3;1704831358.9208412
4;1530164608.9867632
5;1918584611.1128843
6;1765599559.9977546
7;2164601883.160552
8;2101135599.2867978
9;2489201894.1157484
10;2199630338.7249064
11;2210271076.8173447
12;1996818005.6315024
13;1888672780.565207
14;2063498894.2446163
15;2028495994.5410886
16;2674268597.4472995
17;1806721378.0802703
18;2446256230.2026143
19;1957361928.686537
20;1692760085.1153746
21;2122424721.8132846
22;2064674964.4772384
23;2000367566.5097315
24;2198147507.112779
25;2090271416.3572526
26;1732293316.6365297
27;1626735189.9417157
28;1875258403.0808377
29;1653269460.4656806
30;1649503744.356134
31;1652631401.5775943
32;1661314135.9018352
33;1159855590.2051454
34;1993395507.5597782
35;1898946364.4596946
36;1876117330.7436068
37;1396933934.710998
38;2445627789.4307213
39;2276893769.489166
40;2460508743.801113
41;977508131.7435375
42;2140971938.1257753
43;2533954870.084154
44;1517417419.431805
45;2015139291.0380177
46;2276172508.8526006
47;1761325837.5691895
48;2300383372.234481
49;1632025932.7961638
50;2229286201.156279
51;1956110471.744223
52;1764816349.446476
53;1843786619.01618
54;2146844359.3633726
55;2400907143.211851
56;1741333933.5151508
57;2061728893.0829813
58;2158963941.5381193
59;2049956487.8542922
60;1655205928.8353357
61;1778049059.5835085
62;2298444335.654911
63;1723834606.6183393
64;1933900950.3513157
65;1882394363.6959045
66;1936179901.7939823
67;1997821827.155963
68;1488647167.4157586
69;1908565260.7835767
70;2225815089.1519737
71;2255230399.405226
72;1663163970.6970103
73;1258168959.7126822
74;2386094530.9365134
75;1874164684.0562031
76;2266249689.498392
77;1792498365.7166183
78;1765886415.0330675
79;1667553814.6184537
80;2453833204.6743507
81;2112372146.2843006
82;2285935600.7764935
83;2342383435.097364
84;1805408455.6314795
85;2177367554.25535
86;1093857330.1772478
87;1945400630.4536104
88;1701232032.7436206
89;1568691244.906071
90;1289200765.947586
91;1591061373.4706898
92;1535859642.8004072
93;2109460387.0320346
94;1763987290.041368
95;1749067366.2798522
96;2559130871.7113647
97;2024902460.5581634
98;2286570926.664431
99;990512117.6663878
100;1961964893.076584
101;1353406241.1947637
102;1964915073.534777
103;1738408131.0757396
104;1884032950.20274
105;1585723898.3814666
106;2610518964.134797
107;1880027128.216258
108;2024654121.6832051
109;2337978913.535917
110;2111836119.1220624
111;2357971924.390757
112;2156787457.237689
113;2212146552.877318
114;1824558479.9546695
115;2086758791.1005118
116;1973432707.9243863
117;2402634637.364381
118;1962735494.5731285
119;973780162.1984578
120;1920811019.5516348
121;1794535640.3163362
122;1714633871.5515432
123;2192923294.7806396
124;2147858791.16794
125;2091188938.6966054
126;670320447.290985
127;1362908804.4570327
128;1513926093.032241
129;1863321040.7445931
130;1386666301.3327055
131;1624760124.5316174
132;1446769294.8714004
133;1489469939.3300135
134;2137931703.3943305
135;1862655372.4477363
136;1909461201.3778672
137;1811532255.9686868
138;2337760409.081372
139;2299076235.871356
140;2475261396.7433705
141;2124434482.0940037
142;2329100800.1495705
143;1696669338.51349
144;1588374762.6572628
145;2380384219.078054
146;2578115653.171435
147;1728624593.2793314
148;1736934937.554577
149;1648116328.9980493
150;2505238482.162494
151;1980066050.6074712
152;1414436792.333603
153;1879873719.9128835
154;2094668941.11918
155;2439782225.232041
156;1850089997.5480902
157;1975232044.901732
158;1750205932.4858065
159;1876504589.6023037
160;2308553505.100355
161;1636268034.4374843
162;2177052509.0375967
163;2167633531.0664616
164;1931933669.0538058
165;2116726372.4326897
166;1109501012.4439585
167;1901051066.3839998
168;2226100596.3023663
169;2299900666.509179
170;1248928492.784886
171;2058834798.134718
172;1602426791.5547006
173;1874449965.0997612
174;2472233322.2093816
175;2021852435.6365726
176;1548007105.9028459
177;1668052186.37015
178;2433794181.233951
179;2491509088.161104
180;1745042553.9639237
181;2097551383.6740773
182;1748357200.5249393
183;2009391921.63682
184;2298906856.537828
185;2120324071.1783156
186;2054947022.4148495
187;2003100436.3178432
188;1711610985.5243192
189;2166605925.2062936
190;2118788207.004169
191;2203218170.09795
192;2662700694.270158
193;2686432865.2560806
194;2066128866.890039
195;1709785836.516363
196;1731660277.7714086
197;1876436155.8873446
198;2250412061.649305
199;2393798108.788971
200;1120360418.9794123
201;2411090237.695262
202;2297591064.3203616
203;2169162433.793175
204;1815504545.874948
205;1946763885.7899873
206;1141839326.7687185
207;1101471578.846707
208;1725859624.1115415
209;1485343036.6776502
210;1894298036.9590297
211;2018568929.427451
212;1659930740.5038464
213;1529561669.303556
214;1398843158.359323
215;2029895342.0206287
216;2033610285.6511369
217;1493730158.6323838
218;2204596686.793731
219;2068516080.2816803
220;1196295058.4541314
221;1364956465.8510873
222;1845647236.5830019
223;1581515659.6420274
224;2398418470.4031653
225;1347671922.6695538
226;1595087920.8472273
227;1764039594.1850777
228;1753032766.2363436
229;2119707728.7095828
230;1792414789.4270258
231;1861328352.843071
232;1852840707.3923519
233;2035845236.293673
234;1885338159.6691844
235;2424173756.293615
236;1879388646.5185854
237;2141828321.1659005
238;1974943407.6820865
239;2281184851.764476
240;2168171021.950583
241;2010339077.6539674
242;1746646875.3844233
243;2059461779.877454
244;1923994311.5439036
245;2022818023.9961853
246;2040501434.0022445
247;2413985131.6073856
248;2232263229.073795
249;2107135039.9247837
250;2567447218.121967
Mean;1931681914.9425101
Stddev;356285996.9168532
