Experiment;Best solution FA
1;18907.402513634395
2;16933.33769407082
3;17254.731198071415
4;14140.812240672181
5;16652.82884768728
6;16144.950609404943
7;18548.20591230203
8;18294.507090699986
9;19017.41253842626
10;17149.54955310714
11;17967.08955144667
12;17680.89613053075
13;17840.409039890725
14;18037.433881777342
15;17654.451229085116
16;17327.712146204078
17;18064.74812981957
18;18914.650514755747
19;19447.39183150669
20;20242.5207846075
21;14926.747195575492
22;17479.11002765863
23;15522.660931367609
24;16018.286388119284
25;17716.804627376216
26;14208.050105035078
27;17791.48823947317
28;19231.333569081355
29;15598.423117762619
30;16641.43884722315
31;16998.527742488695
32;19143.913761458665
33;17666.612325622096
34;21417.714238060304
35;16259.099889656485
36;13594.970206778451
37;20490.341638308026
38;16722.20660052672
39;19602.42910166608
40;17012.1631929708
41;17280.019976275486
42;20091.783560769076
43;19019.123735085574
44;17806.437773937843
45;13807.093494122859
46;17833.372058813613
47;18271.081734056082
48;18164.87445294519
49;18753.843381544157
50;12371.121130239488
51;15534.134790546594
52;11820.496661452908
53;17357.04371250458
54;16794.931266119853
55;18216.71200411279
56;17376.920081675235
57;18875.824265038245
58;16413.363110727274
59;15843.556352235806
60;18239.514820750002
61;14655.769779565613
62;13138.369346809643
63;15844.560456795236
64;16865.52515969225
65;17804.95440343163
66;17250.196787667053
67;17537.232862321453
68;16691.61735245786
69;13288.95598441997
70;16815.0354200599
71;16606.698857660565
72;16455.86483233362
73;15776.30140745825
74;16382.44899947935
75;19293.322523769697
76;14982.179960234344
77;17602.302185506793
78;15913.974394462048
79;19895.747179732283
80;19090.018451636523
81;18500.087998741747
82;18879.54605860132
83;17932.18786310544
84;17150.266516289525
85;17414.63841187616
86;16921.185887239553
87;17001.64550581648
88;18283.43842409422
89;18509.07497545921
90;18148.893503162166
91;16347.079460615796
92;18805.431133603422
93;19951.828541573374
94;17180.414331621843
95;14834.531473831064
96;16604.255706497945
97;17090.832495226306
98;18389.63868766494
99;16736.19820636793
100;18319.54604922726
101;18818.706238778737
102;19175.65729171061
103;19052.082078632582
104;19039.766292728982
105;15413.090734330222
106;14161.058428822495
107;18945.928027448226
108;18684.055161808268
109;18133.016840590957
110;14848.41133772393
111;17518.53655895591
112;17143.951416533782
113;18683.760179313635
114;18328.612878525506
115;16964.2314457471
116;16411.36033379074
117;14126.635816636197
118;19106.13642499608
119;16915.062773803096
120;18134.73185944309
121;17240.007230101506
122;19680.779824972335
123;15153.474415213315
124;15542.268970247522
125;16927.63272703468
126;19190.868649555778
127;15633.57738724336
128;17127.16332452251
129;18557.666851464048
130;18716.15339601747
131;17574.35322507488
132;13808.636612541688
133;15592.950111470924
134;15822.794763356003
135;18800.898475930408
136;16366.024055624644
137;14770.90123851755
138;17786.198731897253
139;16465.268623271593
140;17232.257866173757
141;16031.430893911536
142;20493.10783911416
143;16931.95937843613
144;17063.020192144722
145;19065.967155790502
146;19183.207581453178
147;17312.6328414543
148;16163.026451852018
149;19305.53731494385
150;17945.998879749917
151;16575.54352320737
152;13849.1905359607
153;17665.013571227733
154;18554.146061270174
155;12680.11028347844
156;15848.61701145383
157;17464.009285746273
158;16207.823705810688
159;18280.544526463884
160;19329.033132925684
161;16378.31112588722
162;16591.63298837909
163;13971.927652975393
164;18254.691217948024
165;15052.76186262601
166;19732.865173357728
167;17801.82671036036
168;16669.083798443597
169;14356.33061099213
170;18751.14168850236
171;18755.565792946585
172;19708.354941275797
173;21982.487760293374
174;17382.24120091973
175;17294.620550043182
176;16569.583543748387
177;15593.36963353335
178;17677.466351220755
179;14425.648848053652
180;19792.28083523151
181;18661.008612037902
182;15020.36766870768
183;17535.078584479525
184;17170.401426663328
185;17420.579105978068
186;13999.879137881437
187;17570.394343370153
188;17504.190915657247
189;20623.93562800057
190;16092.459759980118
191;18051.85065924373
192;19070.71343349743
193;16379.194847836248
194;17672.212923963318
195;19617.152294782503
196;16269.051177525087
197;18548.59085577772
198;12904.486395234362
199;15069.47724256338
200;19280.939268410788
201;15584.830811898886
202;17291.309973593074
203;18299.441649262088
204;17830.89713718495
205;16162.909269228423
206;16218.948364213551
207;17026.723444881554
208;17512.373412543395
209;16491.310662118743
210;17439.6814934763
211;17560.45384579795
212;16025.93612378979
213;16357.114469612692
214;18000.81647458195
215;18439.196689663404
216;18802.76901787553
217;16046.75470537752
218;19301.053447165206
219;18569.727350539873
220;18858.58517743972
221;17218.77481567158
222;19028.512050487483
223;17335.42409563412
224;16485.49395797704
225;13863.944330652845
226;18030.72142407254
227;16633.180211444225
228;18235.160580957305
229;16321.537014101303
230;20173.735498691374
231;15514.486118553472
232;16718.401630212877
233;17811.976806474213
234;16816.63052653087
235;17833.542146752312
236;13244.795530383853
237;19729.297736376142
238;15797.947853030124
239;18515.155942313453
240;14596.465321861584
241;14500.862446423742
242;14015.577120257021
243;17223.53934942172
244;15051.647284705226
245;16275.014913380002
246;18222.499300608062
247;19283.510048778146
248;16273.118137219128
249;18864.41985695947
250;19332.41303126517
Mean;17226.175092238747
Stddev;1741.9386741298842
