Experiment;Best solution FA
1;181887797890.20865
2;180033780099.58115
3;148812935547.95816
4;161440489147.40607
5;166778175403.01102
6;136289987319.47176
7;141112971034.784
8;78266054119.82625
9;144372825755.24796
10;152214952349.23053
11;53068983813.27962
12;100476039965.64891
13;112830763463.85643
14;57923281479.55095
15;232858555266.96262
16;143805806479.43903
17;71469950437.39256
18;184442670889.43906
19;130260661577.23285
20;176533701443.4391
21;160002310507.0505
22;161092871110.71774
23;124039772823.05495
24;153569818725.89243
25;91363056420.78378
26;130868673438.14842
27;96570434824.49458
28;114845701551.23787
29;73272163863.06033
30;89225063626.06456
31;179875101760.45065
32;93752359806.86374
33;143349380197.2053
34;138608382383.30252
35;186330090871.9115
36;105994451240.71165
37;169334109820.95026
38;220635174302.7796
39;159033349264.7373
40;94589394977.90823
41;73168738232.92824
42;95778326194.27875
43;168434049658.67874
44;102978537529.02492
45;85560006561.47969
46;110882823197.09468
47;87199063664.2437
48;213899921424.372
49;50450869388.59041
50;105995609043.1924
51;98321254838.21371
52;94031830557.6074
53;188720126906.9847
54;95576380305.53467
55;86887085196.93257
56;195470918894.93033
57;181077636342.34326
58;75603016501.04362
59;76776482970.75735
60;99882834871.50484
61;109695215764.25282
62;103116498802.28484
63;184350061400.01367
64;165095702582.43143
65;146539168609.16745
66;130849103532.64246
67;152696127759.73157
68;183699972548.55423
69;166185050727.8241
70;152250405077.1398
71;151677899061.79398
72;134344685253.0007
73;42235319413.123955
74;212411527811.58804
75;134384362498.1598
76;258169113464.12976
77;119231223558.13406
78;143688469298.74252
79;114696462532.51958
80;199427531334.0238
81;198521549881.06165
82;134373483004.69263
83;151416343434.4111
84;79385884578.15096
85;88262586080.3323
86;82759786917.96179
87;57867274314.37108
88;98121365149.34863
89;138672039666.83984
90;130211236982.61295
91;152287765089.50473
92;161248850859.9437
93;116688137277.12872
94;110973931969.64883
95;215524586124.03958
96;171385639516.1252
97;166644724336.3357
98;126389207429.00758
99;102741412106.48712
100;112664718446.00957
101;138065471604.95328
102;108337895787.30064
103;162968750536.8058
104;102337632915.32545
105;99841061071.37346
106;212941613120.64633
107;89934506994.12212
108;72667421762.6062
109;176061808035.8866
110;117874352275.08331
111;77964388000.87843
112;110874799835.7938
113;173976718808.39432
114;132886710127.09897
115;137071619975.61018
116;61140835475.33021
117;97623247435.34424
118;94411164024.22778
119;141470255149.5126
120;181438968050.61478
121;208090405323.0395
122;119049669286.62018
123;159369157261.61783
124;138611153293.34006
125;59511850042.5644
126;121303300243.66826
127;161351201061.09775
128;123779875340.90294
129;158704432118.49615
130;152338925065.7895
131;188393916705.61166
132;152224581393.35873
133;31179282479.71943
134;106083017370.34842
135;202589484870.56458
136;159980598184.11743
137;157323018959.7416
138;96688982824.50075
139;145455139972.46255
140;102060549115.43304
141;209816738347.5287
142;195090921398.812
143;184416362169.42548
144;102562076198.55661
145;182596836595.94437
146;142007428391.12033
147;86500381778.02559
148;143978678717.99487
149;128734588232.20596
150;131226797964.1429
151;65528211016.69097
152;156675247520.0521
153;113194214672.67336
154;89077945519.05437
155;163977439053.95334
156;134997443247.39398
157;121685725288.74246
158;64053269357.001465
159;178454299620.1125
160;95235422572.52808
161;227962313428.1601
162;151616001959.64407
163;169666051754.26358
164;129300422199.19077
165;170281787232.1833
166;211093056355.09045
167;152213389514.34506
168;217188308263.3968
169;185343234560.5406
170;113279676634.7927
171;131731638097.75484
172;98816767295.59845
173;159886336968.55527
174;136907927862.09836
175;176633090950.49594
176;132786059380.44212
177;189363181201.8518
178;183401841245.55234
179;75638215095.84065
180;152268676676.2011
181;96276797614.1671
182;135817552844.18604
183;98971669306.40012
184;142618116109.26904
185;122149175747.6116
186;128281011291.75078
187;143152277595.3387
188;99522533034.5459
189;152901044894.88568
190;120711703575.49556
191;171373801567.16202
192;157368778552.0126
193;125394996028.05338
194;171097366882.57477
195;133231558955.10327
196;171408769563.76315
197;259406209506.71442
198;151709581059.32727
199;145741828935.4431
200;146791228476.6209
201;95800748464.28163
202;88953296662.14833
203;134614225310.63364
204;153920329269.07062
205;116065655556.94489
206;161897325769.22098
207;91128845939.44786
208;136318328489.97893
209;164911231102.3429
210;106011721318.04156
211;171475709954.46954
212;203207974885.08356
213;106750181908.92265
214;146742863743.45068
215;113575708465.07263
216;162135638332.14392
217;186429071083.05814
218;195820429379.1945
219;61100290965.478615
220;63949342973.44352
221;199427722097.8789
222;125753631518.425
223;35368091943.46391
224;218914155678.3213
225;159174755852.804
226;107152132477.01637
227;238962964118.70096
228;127995851360.3502
229;77770788688.04495
230;145048777288.971
231;246961817546.09613
232;147867045864.32602
233;123912015618.42432
234;149167589211.32706
235;109803886310.71362
236;177597028345.15363
237;143920756825.6106
238;111259096415.86635
239;126529858528.38158
240;119197969242.7654
241;181759899178.11548
242;147404580772.43027
243;174835814486.97614
244;163209150885.6612
245;100847319280.42453
246;137702458375.2257
247;126652970589.48596
248;106019686885.11543
249;158550933017.2641
250;93347994670.77888
Mean;136939317647.59258
Stddev;43104096847.23402
