Experiment;Best solution PSO
1;5929.578116582903
2;6461.617716774945
3;6915.82493046203
4;6939.301769089807
5;6139.415617396825
6;5719.984761681701
7;5376.3401616652745
8;6500.148258693186
9;7085.449114930785
10;7204.3466405452355
11;4945.91762740341
12;5358.861785372081
13;5953.205397618347
14;5357.973771856556
15;6001.019987074228
16;4646.413026846346
17;4633.698876127512
18;5645.297477690897
19;6017.8688486882775
20;7185.690107572461
21;7374.224536749302
22;5442.938099496887
23;7548.120044723876
24;6838.02053012697
25;6171.093160409929
26;5764.585131065949
27;7384.061836342169
28;7800.242810761478
29;5357.328333382989
30;6482.406314735603
31;6594.743494006628
32;7270.63008170818
33;5875.851277442111
34;5768.146992926585
35;5498.163903287281
36;4022.8044266026272
37;5087.5154387792345
38;7525.421756825728
39;5925.591324137202
40;6491.923305145139
41;5530.410465573031
42;5816.522536297925
43;4810.770483756606
44;5673.510933827875
45;6409.441442274825
46;4865.975326456307
47;5950.000249465395
48;7245.859788040412
49;6359.933955470953
50;6123.919456209483
51;6230.929586776934
52;5663.766650474525
53;6176.357996441697
54;5894.877047702727
55;7506.076983727562
56;6747.586350870379
57;7094.909691814843
58;4072.312357250073
59;6467.0575852860375
60;5930.523124491199
61;7010.417857849241
62;6812.033457354362
63;5028.554658354781
64;5077.644283242702
65;6712.235606705053
66;6733.700811893929
67;5906.787387838949
68;5073.670940689668
69;5968.687715362624
70;5930.037721382268
71;6130.783885407324
72;6578.417844439857
73;6337.941817884437
74;6752.649940910321
75;6502.8817902445235
76;6905.3367605454105
77;5368.590181753074
78;6139.970870852568
79;5026.541497589257
80;5422.989759100688
81;5014.753693951117
82;5309.229992545438
83;6063.503965089015
84;6849.607831146171
85;6726.984275627095
86;5952.781766269431
87;7297.427782564475
88;6041.073339221385
89;5813.4505128031715
90;6826.387584337811
91;6401.242804884321
92;6843.8791173428735
93;6472.205331644736
94;7091.070847824199
95;5783.007978594777
96;5900.014875828391
97;6574.01142739789
98;4615.923786476833
99;6330.493227293683
100;6522.229752317836
101;5910.13671352403
102;7106.39231300746
103;6233.583323734261
104;4961.716448320243
105;7129.241405679633
106;5641.607734937072
107;5277.40031689492
108;6095.02033745224
109;6383.574046761758
110;6455.389322518188
111;4822.814334072467
112;6033.4538034408415
113;6427.927564741185
114;7058.91273793884
115;7307.205204362707
116;4301.240320138192
117;5614.064148315042
118;5032.225021803447
119;5560.735423110933
120;5476.0962436853015
121;7992.823917112176
122;6540.754533393816
123;7277.327092624248
124;7588.53427600167
125;5279.2628534282785
126;7455.51480173085
127;7237.094725379067
128;7269.166585238659
129;3351.103609972959
130;4846.877497569928
131;5793.391963250161
132;6104.456536218671
133;6834.709756836677
134;6246.187061292063
135;4223.660237255908
136;6304.6531817628675
137;5030.767390674853
138;6924.58284723266
139;5093.579403337117
140;6373.477669875398
141;6689.230408252181
142;6568.929659107401
143;6833.389774187262
144;7146.151195607733
145;5195.887694235498
146;5351.866136146607
147;5478.632480588765
148;6821.09034440126
149;6337.535689581895
150;4913.598464767762
151;4590.819443434377
152;5319.5342100969765
153;5779.459588943065
154;5275.301719152923
155;7138.76757952232
156;4985.654682367498
157;6048.309394630563
158;6618.837130807747
159;6756.861293675875
160;6846.064417744816
161;7143.117590197914
162;6981.910364749936
163;5933.000687405287
164;4837.163188092162
165;6923.87945932591
166;8044.7052560765505
167;4705.447245458023
168;4808.412395907787
169;6718.481520187654
170;7074.8898035635775
171;6724.975549588845
172;4921.7434316734125
173;7517.685604402937
174;5378.546375262332
175;6155.329838552025
176;5075.578491398927
177;6300.907305069526
178;6782.090192699432
179;7090.861257217329
180;6296.722896050699
181;4679.738327178822
182;6292.44679675065
183;5928.699093722418
184;5399.4244570643295
185;5888.015161072674
186;6075.264171608227
187;6306.59396880698
188;4856.4652814316205
189;6847.598615961447
190;6101.780964624904
191;5920.4597870566095
192;5829.492894533076
193;7884.613986156089
194;5737.419966058734
195;6368.3934920837955
196;6166.245350214861
197;6107.980948123528
198;5736.888723047516
199;6215.015226274513
200;7288.1532064017865
201;6783.125349398507
202;6009.814928469657
203;3942.240259870198
204;7246.0597338293765
205;6552.311309486294
206;5134.895697136813
207;6029.444815758278
208;6518.10560738335
209;4568.729104008661
210;4610.089628386368
211;6065.992055217071
212;6330.390609955568
213;6239.712967747907
214;7028.785194217356
215;6765.352053878945
216;6266.281510041389
217;5944.0416261403425
218;6614.53956428498
219;5499.299871181772
220;6643.900521259351
221;5001.337932288828
222;6860.74946412277
223;4867.6107140261065
224;4886.620939290391
225;6811.278399823154
226;4954.5775498628955
227;4865.958435496521
228;7197.798706991593
229;7126.593548607585
230;6159.403057770928
231;7036.294354916855
232;5005.145097495205
233;5143.829412012545
234;7275.64694520021
235;5651.870573533062
236;7163.933426735477
237;6385.979677592841
238;7454.949593629718
239;5637.885048584068
240;5838.207271275982
241;4242.184975204741
242;5746.247783657092
243;5594.090528861684
244;6803.614894776888
245;5953.050274328336
246;5951.584980183767
247;6491.446819436881
248;6570.616470456459
249;6651.5163281943305
250;6788.834096320014
Mean;6103.649424315043
Stddev;867.466376469638
