Experiment;Best solution PSO
1;-2.2988888744588216
2;-2.3336231565180263
3;-2.696987305994962
4;-4.133456046552527
5;-2.811085282348561
6;-2.031387704689171
7;-3.230858428557232
8;-2.7224752768518
9;-2.9724536582497763
10;-3.6479801296069523
11;-3.0864775993289584
12;-1.820668633926036
13;-3.205253594367468
14;-2.0321797623473494
15;-1.8732340227505064
16;-2.172656704363475
17;-2.8988467705223497
18;-2.143581683229722
19;-3.320229438994796
20;-4.237544520945828
21;-1.798642218957656
22;-2.940623163976276
23;-2.355709474681855
24;-1.3631463175512468
25;-2.432553505340112
26;-2.2721597033105336
27;-1.90342553801448
28;-2.8714349592562747
29;-3.0523850035768683
30;-2.556947122230123
31;-2.880423133606446
32;-2.4369351662986576
33;-4.1748223987671995
34;-1.7441650476251898
35;-1.7999932515464632
36;-3.4338036977233988
37;-2.5455166428636655
38;-2.7452788384805378
39;-3.385204530965829
40;-1.7022321526377986
41;-1.9182547366198452
42;-2.7261809807849486
43;-2.7220050130593214
44;-3.6043727000857153
45;-1.9255982026133225
46;-4.06596550049011
47;-2.3857135276605637
48;-2.338129194721773
49;-2.6122444733511174
50;-3.3502942999779273
51;-2.732617660821627
52;-2.981395489724494
53;-1.6125663679415025
54;-3.5221098162651177
55;-2.2666016383477463
56;-2.4297229728647443
57;-2.3905194151588702
58;-3.7410755998173943
59;-4.628664862201987
60;-1.464807354429519
61;-2.9710756198996693
62;-3.2322020027916647
63;-0.9205721569691087
64;-2.164561426555433
65;-3.0996055334911645
66;-1.8783637517189995
67;-2.214913502481916
68;-3.3897133367063903
69;-2.0407160368877353
70;-2.1142797538944924
71;-3.3579950336960884
72;-2.501276075304317
73;-3.414740955184263
74;-3.4711521008088124
75;-3.2212975715029817
76;-2.116861569980707
77;-3.1366283419266727
78;-2.9528424334699617
79;-1.7871094632051976
80;-2.464499632167276
81;-1.9251004023728004
82;-3.128819968705959
83;-3.3460138674694186
84;-3.084138279408479
85;-2.7498583112806285
86;-2.444173578381499
87;-2.66178999463743
88;-2.741402660572602
89;-1.5857498398412742
90;-3.140517126890267
91;-3.5172321142042984
92;-3.3529913375370892
93;-3.1023922244627884
94;-2.619184775118479
95;-2.21105082139377
96;-3.2724556715375077
97;-3.9055813697786363
98;-2.1640873104080134
99;-2.9498558881996844
100;-2.481128965774635
101;-2.8020660924356453
102;-1.479504120190493
103;-2.5990315761357112
104;-2.3275760259263096
105;-2.0594342930435476
106;-2.189521280998367
107;-3.532537981366326
108;-3.5278916874334483
109;-3.9014353338806527
110;-3.07057883451062
111;-3.576650517963991
112;-3.2288347984854195
113;-4.729870904895535
114;-1.8510173917120452
115;-2.5953705854788836
116;-2.5875609812651676
117;-2.4910934168796706
118;-3.1142561479940145
119;-2.986974811906819
120;-2.0131304512603534
121;-2.6521908426190293
122;-2.4396668933370433
123;-2.840532723232094
124;-3.833318286351154
125;-2.5571730977000007
126;-3.019072782536482
127;-2.0279345057171585
128;-3.4185473760629117
129;-1.9098986428106206
130;-1.8030212893677384
131;-3.3088311303264235
132;-2.405604453884204
133;-2.389350138642002
134;-2.3394866447238782
135;-2.6163525497448914
136;-2.055349468402137
137;-2.428029042025251
138;-3.0521239990174496
139;-2.590689346996836
140;-2.502853555408975
141;-2.713812030017676
142;-4.4398286856974565
143;-3.156582376598123
144;-2.2601427066789053
145;-2.8481524540857874
146;-2.279102578955265
147;-2.9244233423253614
148;-3.1322607568900933
149;-2.6594063709218334
150;-2.383857617212978
151;-4.306695300984815
152;-2.1334757483639666
153;-3.140263866654499
154;-2.3528558548956138
155;-2.4426598348212556
156;-4.5382079264281
157;-2.570444976391008
158;-2.560999778329471
159;-2.889258880213982
160;-3.129602466772201
161;-2.090981382878852
162;-4.093498631979465
163;-3.103196584434795
164;-2.600147722267401
165;-3.0620273351348946
166;-2.4398097763461726
167;-1.9271571943494368
168;-2.02136439867168
169;-3.43010275785264
170;-2.2247949941331946
171;-3.1350303005734057
172;-1.634570551686285
173;-3.146562060118326
174;-2.4772231524824826
175;-2.2955057662610168
176;-5.012502759335645
177;-3.456430582094678
178;-2.777945586724665
179;-4.4279625286515865
180;-2.649966555469309
181;-1.695216595049061
182;-3.8356195801929114
183;-2.5678891198048905
184;-1.57580048865878
185;-2.2417560540306773
186;-4.113739259690935
187;-2.0847804787369504
188;-2.6091657868078357
189;-1.68997990409648
190;-3.0526379164625856
191;-2.5188163848463883
192;-2.9998472522980397
193;-2.691248665520645
194;-2.239493745416642
195;-4.09253001019768
196;-3.0953366434439515
197;-3.1588829519855874
198;-3.1135153055388263
199;-3.377764696780371
200;-2.4637827851227208
201;-3.929273515437488
202;-2.613275841970072
203;-1.780745724731283
204;-2.995085639639576
205;-3.5365144727782303
206;-3.1756953998632085
207;-2.2202912440888047
208;-3.1179599003647964
209;-2.2714225474773153
210;-1.8898968805680354
211;-2.2519141231281785
212;-2.557909104503303
213;-2.544917203170095
214;-2.5683767158458557
215;-2.719254735055788
216;-2.401549577685871
217;-4.489582654118763
218;-3.048847660083494
219;-1.9965255450399513
220;-1.9912558595555594
221;-2.4878914008512085
222;-3.038578581187667
223;-2.640039638503827
224;-3.2613844525695073
225;-3.4009161186499153
226;-3.3710958434235208
227;-3.376730913459877
228;-3.1873546676369884
229;-2.673125609265333
230;-2.641975640566641
231;-1.9137007720402532
232;-1.9464066904070054
233;-3.7969191039602395
234;-3.0236421955334833
235;-3.402818842923488
236;-2.542599412201256
237;-3.4566416049871087
238;-3.25983445365784
239;-2.1116797341286397
240;-3.120662963085602
241;-2.4596561169181865
242;-2.169885719931673
243;-1.9477652442770592
244;-4.1142131498901
245;-2.298580997020149
246;-3.410221718802642
247;-2.0520774006892855
248;-1.807719615033395
249;-3.618269519437702
250;-3.294360602889847
Mean;-2.7647442637865653
Stddev;0.7027556801791481
