Experiment;Best solution PSO
1;15908.394255322593
2;14473.88177762746
3;12912.003111028846
4;17804.19535446458
5;16446.272513455384
6;19117.597273949625
7;18291.036512753868
8;17067.188562589457
9;14995.057448279429
10;15681.638443175558
11;19708.32549341005
12;16920.064594383784
13;16201.087769956928
14;16999.017642433817
15;16855.720801720836
16;16160.53951253119
17;16556.86297934591
18;18455.163882903846
19;17964.704591636833
20;12453.059905603146
21;18836.994192776805
22;16270.011088967029
23;19665.280203465478
24;16897.65063659494
25;15319.883468531716
26;16132.946002426388
27;16503.765928469897
28;14801.968295283816
29;18419.676764388565
30;18915.425041941984
31;18447.71246733714
32;15532.474130664896
33;13561.02435365757
34;15258.878601062293
35;19348.33080886589
36;16202.847831213656
37;15987.264419604719
38;14448.836140659627
39;16897.280900663143
40;16978.069236444393
41;15939.685356889326
42;20463.916507997106
43;13309.337130720136
44;14919.023588930751
45;17856.22927896176
46;15434.740338978001
47;17579.334569813993
48;17316.290986322518
49;19445.33336259333
50;14732.803403359265
51;19592.659450265965
52;18653.550998771305
53;14620.193989142495
54;16097.750161975184
55;17402.322259287535
56;17394.753064055894
57;20690.056664503136
58;17796.51707375986
59;16789.48552374149
60;18573.597987158933
61;19594.95674762645
62;15992.487212546992
63;19488.591551872523
64;15936.346328789521
65;18296.371322444273
66;16178.252423349235
67;19681.521447502604
68;15503.662367599423
69;15991.991251458876
70;19101.05041106914
71;20828.03796485313
72;19335.931806059027
73;18045.08107736634
74;18403.063272612755
75;19372.190924005015
76;17017.453893890306
77;17748.297664847847
78;16898.413985145424
79;18007.216955709377
80;19152.25353806963
81;15836.162890110916
82;19311.217896868853
83;16588.298711807554
84;17884.870185205007
85;18287.15551134893
86;18267.966105827145
87;16318.862636272468
88;18576.383061813576
89;15073.396694795309
90;19080.47242605522
91;14249.966361732295
92;16006.614078796303
93;16499.12161094517
94;19891.685261886392
95;15852.876614743209
96;18248.063572254443
97;17418.397909303287
98;17684.629313404796
99;18108.831116439887
100;16198.83276884773
101;16307.24283775289
102;15769.045062358573
103;17197.011528783794
104;16970.00310125525
105;15044.544127808036
106;15408.525063297322
107;19637.97568931928
108;17583.32600417771
109;14429.914037895674
110;16165.276989079783
111;18672.509298284884
112;17010.354848599094
113;18028.855522878144
114;18283.78118852229
115;20207.322287027
116;11835.74085916265
117;15732.600659428235
118;14969.097736537322
119;14049.141081479065
120;19440.91147245709
121;17256.62909622291
122;18455.429491546216
123;15385.92119983611
124;17766.511302844116
125;13870.291229844684
126;18523.034138770665
127;19549.148084029137
128;15722.208254269819
129;17616.22980987961
130;16009.931480277377
131;16048.09773835124
132;18957.787234843327
133;18280.25337550967
134;18066.406709032075
135;17115.399781201788
136;15303.034116586887
137;19019.08034137579
138;19619.613501944794
139;16763.852019446014
140;16866.475462519604
141;17612.92029063437
142;16064.490991817944
143;16203.995890241591
144;17478.25332979676
145;14177.389284025101
146;17029.011483709914
147;17825.775741832203
148;20528.05007973336
149;16505.46460942495
150;13739.441324049634
151;16178.793341109487
152;14755.253046232992
153;18130.87574631376
154;17725.553573001424
155;19073.22743914453
156;15976.655501731802
157;17317.493351982575
158;16784.4462561115
159;18675.47579667971
160;19280.652922756843
161;18211.713636119082
162;19237.586338529167
163;17915.49347084477
164;14931.958700346744
165;15307.520163252315
166;16977.719425737385
167;17969.171680319712
168;16854.59788360951
169;19108.093641295418
170;17508.296919805423
171;15063.042424977193
172;17385.06361885196
173;18888.12913931513
174;18835.727770558966
175;17000.050094724684
176;18824.50516594576
177;19037.914848496006
178;16410.79645729815
179;18380.829781723238
180;18813.1729143716
181;14328.961597698297
182;17636.43621647538
183;19791.36881403468
184;15734.525457369522
185;14775.539623022694
186;18674.103537566945
187;19525.05849106159
188;17592.385821173782
189;15787.763461501894
190;14904.933305181774
191;12003.236792427093
192;18518.82326148092
193;19961.872477405766
194;18394.95978849547
195;15383.948943458758
196;17091.246716766127
197;17895.68276421293
198;16224.09137128104
199;17093.385717162237
200;12632.985089350595
201;17358.637471296825
202;15418.834106168619
203;14410.890332123377
204;18604.801087721615
205;15555.382937618686
206;16790.713029007886
207;13370.90311419503
208;18935.365821291773
209;19021.958069894907
210;17437.59640135808
211;17130.795918550302
212;17723.298829912965
213;19882.76063835594
214;17594.570111374403
215;17878.881641822645
216;15675.763019688962
217;18530.92680640516
218;15763.272028199503
219;14548.663328644863
220;18006.174409710613
221;19781.546453373005
222;15503.69211016214
223;17043.50685700584
224;18769.564804690803
225;16257.888458912335
226;17511.291847612334
227;17960.438119388655
228;17140.675102110697
229;15958.51531337594
230;16415.439672396235
231;15077.41297302163
232;17281.960387788127
233;17801.99904198413
234;18122.480868034727
235;13286.791027397296
236;19961.51063241853
237;18721.045558274996
238;16175.413049401406
239;21119.280646656232
240;19452.744530366574
241;16952.58386660468
242;14971.645594157946
243;17329.04950776993
244;16504.82429701235
245;20679.790491458898
246;17409.746032246618
247;16942.306325004785
248;17073.422122055905
249;15446.584048598794
250;18241.071769134305
Mean;17132.44611684748
Stddev;1785.4974080065592
