Experiment;Best solution PSO
1;1556408034.402659
2;1829222047.0706985
3;1754355277.8657703
4;1938452871.7578332
5;901599196.2492527
6;1987052240.0439692
7;2429134670.2744064
8;2171101584.4110866
9;1807314479.8622084
10;1999273376.3058746
11;1438161198.0419872
12;2380569961.0530114
13;2310252988.06343
14;1956134289.5629702
15;1970897919.6138933
16;2043074699.7415051
17;1961705541.3439322
18;2162049200.644987
19;2192671700.667942
20;2228760080.274724
21;1271804206.9850936
22;2002132598.1226249
23;1877258635.1413658
24;2183936195.673618
25;1635046873.6393874
26;2010034891.9826925
27;2173268951.511223
28;2018513058.057845
29;2050247331.9575381
30;1520975038.9939733
31;1931829125.2244425
32;1875471145.4444246
33;2105253340.4416451
34;2000921280.6830893
35;2392220838.765056
36;1803290549.6592927
37;2274633083.8473916
38;1872858763.0680916
39;2367852917.366338
40;1866701313.0599623
41;2014937457.8564973
42;2124568226.9456615
43;1688932359.0430424
44;2103734864.0703864
45;1978405775.6328752
46;2074853783.3318737
47;1536640901.582567
48;1806262401.0914702
49;2160894041.0180078
50;1806926031.0807953
51;1542654234.1118147
52;1363847778.5583873
53;2236360415.8368373
54;2037396347.634345
55;1721791146.330011
56;2591466020.8185787
57;2135353548.2483637
58;1881238448.398369
59;2047356952.0473633
60;2326506922.120422
61;1614932263.4945447
62;2045082575.4901893
63;1695180211.688666
64;2172277439.201749
65;1608709559.1089556
66;1947890453.34413
67;1745484588.5835936
68;1753477379.5407104
69;1897783718.4561663
70;1717105949.8871322
71;2064328188.1264126
72;2277608597.3048797
73;2367382672.532293
74;1862436065.8429327
75;2591695070.0625205
76;1750176014.749557
77;1991664382.1155457
78;2141311013.7813036
79;2788455883.867544
80;2290910131.774634
81;2062618179.1449387
82;2373902014.953553
83;1946838446.490684
84;2079537535.9934783
85;1899435317.971594
86;1917245081.9283447
87;2231534916.4282064
88;1533189160.9942462
89;1498298822.326356
90;1799460901.2347758
91;1979720705.8373613
92;1674434640.859664
93;1996992005.894051
94;2195544708.4506807
95;1741199491.039963
96;1472982150.643429
97;2158491289.1836123
98;1659247030.7980742
99;2157458061.653012
100;1766693039.2272491
101;1399888485.831589
102;1545029743.063471
103;2554446519.870373
104;1729844248.3907456
105;1827845875.8117175
106;1473027735.8711212
107;2245141387.7138696
108;1888937713.3918867
109;1700100809.9320974
110;1795061569.9938712
111;1788773841.3561826
112;1783557603.9650872
113;1791040440.9869835
114;1828505534.8795485
115;1468867657.0051908
116;2239084209.6971807
117;2612832834.654805
118;1946289101.5113373
119;1585419482.7340615
120;1958436399.4094806
121;2165783249.12698
122;1702255154.2979176
123;1806232199.4889994
124;1563886543.116214
125;1933200471.7695417
126;2128765685.6875887
127;1571473455.4809852
128;1654724146.7174222
129;1381622375.7085874
130;1699609621.874577
131;1533833753.3344932
132;1871580162.3523035
133;1989081719.7688596
134;1629221129.67979
135;2158700244.222982
136;2150249335.1259894
137;1883629163.983174
138;2385985625.648045
139;1915058025.0532668
140;2285546726.7252936
141;2208663495.920727
142;1979896430.056144
143;1533723656.758137
144;1460682758.3415325
145;1805010590.4430387
146;2525918334.0926785
147;1716487870.5048025
148;1704857220.3000276
149;1770580697.1385553
150;1953124460.6397219
151;1243547594.6286457
152;2096339045.35105
153;2169000432.418921
154;1669546712.7502794
155;2279651960.895899
156;2075174916.1345572
157;1605490202.9242804
158;2397366984.613872
159;2398667712.8470635
160;1701226855.435591
161;1719960065.575042
162;2343608361.9833636
163;1224936161.814204
164;2444261452.929166
165;1973490162.2831569
166;2137190060.885572
167;1517201286.0139654
168;1658709758.1114416
169;2096438379.9820216
170;1864712901.210509
171;1894652946.5370028
172;1675518033.3370478
173;1624299856.328064
174;2093415317.5239394
175;2156858573.1855235
176;1669947754.3064394
177;1743610089.4787526
178;2407531473.064178
179;1708406091.7710414
180;1691962975.7470958
181;2032004570.211821
182;1558393998.987537
183;1785652754.8824773
184;1969451860.2552328
185;2218884027.7655077
186;2178168926.886299
187;2283437771.3304777
188;1069121418.9884899
189;1213213825.8891191
190;1760602216.7069855
191;1824349107.7271767
192;1868139481.9890058
193;2083181577.578054
194;1596034455.5418637
195;1996698176.6890693
196;1898832987.0991135
197;2252884837.4884086
198;1344532663.7947671
199;1839164850.3569126
200;1635718367.4451656
201;1194788928.5938973
202;1917589192.6386633
203;2443089585.6173396
204;1784442523.3425384
205;1925283739.418449
206;2332544791.1097918
207;1380862516.20725
208;1616525767.53633
209;1908230687.3008728
210;1491916853.5634346
211;1503452955.223888
212;1772218612.4720793
213;2025621867.6070967
214;1850012877.4794207
215;1797045108.9621458
216;1837616917.8382614
217;1632688712.917613
218;1790637958.9884975
219;2099677372.6527233
220;1216522130.5021815
221;2415827713.5748787
222;1833686925.2878485
223;919720431.0680507
224;1712915778.3044653
225;2184613895.9450216
226;2010012332.571168
227;2097519940.8557956
228;2090577647.292371
229;1692062970.0479708
230;1848052884.9306333
231;2125736130.9613354
232;2369382518.383971
233;2428528095.600041
234;1453938912.4595137
235;2400640300.2452345
236;1964731443.4031973
237;2153679121.6242237
238;1819338758.657443
239;1882933270.25986
240;2201579469.54986
241;1526209682.8307998
242;2243780743.7173147
243;2348503159.1227183
244;1372662822.7578452
245;1623623586.4232473
246;2373708628.236973
247;1899447089.4106355
248;2057995451.993473
249;2432084131.4073935
250;1317708654.5261261
Mean;1908583855.6046944
Stddev;322553721.82086736
