Experiment;Best solution PSO
1;12369.597667226211
2;12454.338844344284
3;12419.660036718089
4;12273.581200035882
5;12377.32864450039
6;12426.62487565521
7;12340.030917607328
8;12358.346084986566
9;12440.000612988395
10;12450.039499660728
11;12426.82705395178
12;12413.964567263558
13;12436.024726838748
14;12413.592000897655
15;12416.85691575401
16;12390.366166552183
17;12379.544404100474
18;12456.232882672275
19;12326.86450081332
20;12437.3324057905
21;12441.918872567876
22;12406.349168457009
23;12411.972080176456
24;12360.366868112573
25;12404.425146283898
26;12384.393787579873
27;12471.697445824553
28;12368.66137899535
29;12355.069866226404
30;12327.962793564311
31;12433.95848147241
32;12380.613797903574
33;12413.112562002285
34;12431.935618858513
35;12279.83419535177
36;12415.955835178034
37;12398.027769557077
38;12421.763819717758
39;12343.672156824667
40;12356.05001757448
41;12419.337683158728
42;12425.664529912685
43;12368.50714505321
44;12397.372490439848
45;12469.449184304847
46;12332.671804636997
47;12374.354203270426
48;12378.911082540255
49;12408.471328272832
50;12385.662337779551
51;12265.646762025628
52;12411.830051261588
53;12297.187941550797
54;12351.243517748246
55;12462.178852903908
56;12400.88226939306
57;12391.436289724128
58;12330.749967786092
59;12392.020185845811
60;12386.307972539811
61;12388.521664829717
62;12345.561995013137
63;12365.371501185145
64;12385.2118408012
65;12349.528178129434
66;12349.142436180437
67;12396.151085975695
68;12344.360243977037
69;12350.391953802038
70;12459.60740860384
71;12293.43319541839
72;12325.62988069133
73;12391.09281347754
74;12476.669799855812
75;12404.59576875213
76;12422.988227550855
77;12373.441158799138
78;12403.307348768998
79;12335.082671461527
80;12399.17361308551
81;12368.798968111621
82;12383.629166278448
83;12420.514098723628
84;12453.502300918532
85;12337.5698690593
86;12390.093371885221
87;12384.496081150945
88;12292.51023948588
89;12403.461467952835
90;12326.81486420921
91;12427.699085679022
92;12386.910801524515
93;12414.55117386654
94;12425.809094732469
95;12421.606128105874
96;12433.023985001013
97;12456.912253354281
98;12359.447921255316
99;12329.03355602926
100;12443.407131672777
101;12333.475388790868
102;12388.55059158193
103;12388.719123691195
104;12393.88602271342
105;12430.359761151174
106;12370.056442630364
107;12344.53403894637
108;12350.449034923364
109;12385.849281473138
110;12403.949095639126
111;12377.869504528802
112;12394.36921176215
113;12384.540200530857
114;12382.558717977341
115;12383.695117559784
116;12388.297271227411
117;12372.70683557749
118;12393.620522377922
119;12373.81132861322
120;12333.02363173739
121;12423.526223455565
122;12306.71447393477
123;12409.852287911537
124;12425.239863454002
125;12421.25880139306
126;12383.744235874756
127;12409.505436088448
128;12363.449082836189
129;12361.544348375697
130;12416.134857652127
131;12388.688701510526
132;12382.89702631459
133;12403.061910723747
134;12380.337814295734
135;12361.49479165617
136;12382.047561589718
137;12435.042542254028
138;12478.648056951522
139;12435.48993430532
140;12364.674711603831
141;12397.547424086835
142;12378.596939143652
143;12341.26406151923
144;12336.546384260373
145;12340.584453178342
146;12357.643978452461
147;12377.937744199862
148;12363.186085756419
149;12409.577728890534
150;12304.30865415996
151;12365.186139442665
152;12321.796612256005
153;12365.090831874828
154;12323.582300330616
155;12369.168500420654
156;12390.244029190158
157;12361.36027956025
158;12458.085778654753
159;12383.434419573654
160;12419.693119520078
161;12384.230443513918
162;12313.89878597041
163;12423.837963177368
164;12410.446863098432
165;12364.736014672353
166;12393.199015928683
167;12436.354324003652
168;12410.894909471885
169;12445.4059826537
170;12401.193248754707
171;12432.268197801342
172;12394.495900952585
173;12386.00758933281
174;12433.74939732286
175;12402.768716176986
176;12375.368885950658
177;12428.105735215435
178;12418.571723475705
179;12415.406921906684
180;12404.70850683353
181;12355.263545756054
182;12405.357813531524
183;12427.739058044648
184;12441.542169783366
185;12422.773892302457
186;12412.886912426588
187;12405.282565094527
188;12457.483956753542
189;12371.461397306413
190;12399.674821220056
191;12381.012178963985
192;12377.482981533969
193;12449.697837131558
194;12407.362311677904
195;12385.53879322622
196;12413.397983011726
197;12412.910151047334
198;12320.592488012919
199;12365.17716310011
200;12346.180824400744
201;12353.865721340599
202;12410.52170889632
203;12394.180414800388
204;12444.02459838947
205;12412.485134080734
206;12369.943510996292
207;12408.009524960553
208;12368.436901312656
209;12461.782311869927
210;12320.417228766017
211;12353.144112049235
212;12353.168047488845
213;12395.335023033906
214;12351.974940835758
215;12453.857052671086
216;12393.300960867247
217;12350.973115148387
218;12400.437182734722
219;12416.092748644685
220;12422.63500238704
221;12388.546721944853
222;12451.69372778255
223;12430.2287033547
224;12378.91973434435
225;12406.079864979261
226;12431.498922088149
227;12391.60786315975
228;12414.067832397022
229;12418.254763916151
230;12346.292200898813
231;12415.921193567121
232;12400.716533365821
233;12428.93849954235
234;12321.075582563335
235;12386.288054109196
236;12357.106520718278
237;12424.475807738376
238;12351.374150412234
239;12399.47473436115
240;12294.37746141998
241;12441.668757901252
242;12434.191187361068
243;12449.795030008847
244;12360.871735702332
245;12432.624074582125
246;12370.091722638905
247;12389.38248079617
248;12434.025784093063
249;12340.342517387191
250;12393.906962394121
Mean;12390.036948814075
Stddev;40.400594750394994
