Experiment;Best solution PSO
1;15195.044120715827
2;15305.178952809523
3;16359.805709930291
4;18541.188024033814
5;18863.715705145954
6;17696.85861627626
7;16476.91236473598
8;16092.841475789812
9;16996.332690244188
10;19099.16590206084
11;16011.3816241484
12;17032.664833281462
13;18158.92382243074
14;16858.717806001096
15;16047.162303625748
16;19652.25347653586
17;14164.442104818398
18;17878.759628190288
19;19603.247838733074
20;12446.2255237551
21;20493.791972734758
22;16820.781975740145
23;19317.028895979107
24;17710.362530476545
25;17718.614303368744
26;17694.178410126377
27;15233.30669991949
28;17970.929365433953
29;17721.54663833649
30;18904.43831421863
31;19130.14195802126
32;13454.053958757633
33;16950.10965000297
34;18908.49658144081
35;17044.64823576526
36;14503.751172327571
37;17988.44949269515
38;17001.6391082998
39;14752.99066390533
40;17857.82969515286
41;17137.973127700043
42;15117.598749515946
43;19784.70306258032
44;17876.12177494419
45;20302.79670605152
46;19039.027785071652
47;20025.605786955683
48;16752.7521863161
49;19011.738925956324
50;18067.35216090843
51;17865.923903574367
52;16842.972986650937
53;18983.68993118963
54;18626.13696941274
55;16782.54608150141
56;17961.263750433714
57;16939.6050452004
58;15283.745138508515
59;14502.099419178625
60;18961.719522627594
61;18972.4747891932
62;16777.324121849953
63;16046.301419487243
64;19660.93109305367
65;16265.830855721502
66;16637.84351180075
67;15036.111308743988
68;19939.9313508241
69;14086.977965823244
70;20398.20522282931
71;20041.73637475236
72;16431.78845546815
73;17019.500919310933
74;14147.815382629547
75;17763.21612569572
76;18749.478796493968
77;15958.858038865208
78;15431.775904183432
79;18585.64493508078
80;18040.183508951028
81;17984.109990083987
82;19986.132889669745
83;18323.921911864458
84;17812.28940606385
85;18113.815625748575
86;14575.469445776836
87;16428.426217835837
88;20292.55126207445
89;18262.739846024324
90;18220.003299910124
91;16649.489985208947
92;17969.502166290396
93;18590.341085041175
94;15766.33967145702
95;15142.522209094584
96;18613.861796965797
97;18936.15816355855
98;16321.368458005818
99;19330.626313394954
100;13519.133954291721
101;18403.171847479596
102;19192.51013827099
103;17471.54886875389
104;17234.722155144602
105;17625.33235559889
106;10475.451838808138
107;17357.00611420488
108;14838.544414164093
109;20070.666834296488
110;17371.515347780318
111;15114.383911399862
112;15507.194342697669
113;18371.040020266206
114;17869.19721588406
115;16886.00927785285
116;14950.909043089609
117;16802.49035526332
118;19037.07636157678
119;15908.098766002133
120;15559.390665738629
121;11862.748346099745
122;18818.21094929244
123;17953.69599578694
124;17682.83712466998
125;18496.183487667346
126;13181.276790011032
127;18003.01036765049
128;18447.77066903331
129;18642.5725303332
130;16190.53575749068
131;17813.41605080275
132;21077.184858117358
133;15702.041785102378
134;18336.51519194413
135;17643.589605813348
136;14009.370704957113
137;16938.83381982903
138;17154.2769114655
139;16587.362242255283
140;16146.660822804484
141;16505.31992452872
142;16678.609570095054
143;13952.763674434655
144;14582.718435040044
145;17702.690441134295
146;15616.99750738273
147;20352.638263728353
148;16944.083365874932
149;17859.258659800194
150;17728.953847505552
151;18445.04596132487
152;15670.039873852633
153;18068.334749364472
154;16589.323792956206
155;16815.977211129553
156;15917.06146164208
157;19020.822722372734
158;15997.024887657724
159;17488.610180395048
160;16126.24535207104
161;17656.623997767703
162;15840.775832413357
163;15916.66748134495
164;16609.30275190933
165;16843.730845043727
166;13225.776274089209
167;18208.74423648545
168;17983.21651308362
169;17328.883549446757
170;19677.327546736804
171;16008.790721680547
172;17826.01332677996
173;17453.646448023985
174;17930.630580434576
175;18524.895313187197
176;16921.914300823486
177;15787.165725798794
178;14476.837868955588
179;15074.292626023605
180;17624.226949636617
181;16035.200479537782
182;18597.766255260573
183;16821.75946459581
184;14574.670348686805
185;16479.404007794874
186;15391.188148907342
187;14684.283244193954
188;14640.265449089751
189;17422.094832771007
190;16242.84338939619
191;16852.372842253415
192;15550.049634187082
193;17154.916653945787
194;9984.066094424135
195;13411.739137720375
196;17071.92154889574
197;16261.32151686298
198;15277.63165903748
199;17377.006003787603
200;15299.850824315668
201;15358.200490688505
202;19322.186281344737
203;16953.203182631292
204;18820.465056708177
205;17040.295755610787
206;18239.878749853226
207;12421.315905878299
208;18703.080646280385
209;13616.20075119766
210;17777.454796171092
211;16567.82794310179
212;15305.098560468554
213;13595.085425137986
214;11441.049047944269
215;14759.812894071014
216;19660.93173532986
217;17505.670178859014
218;14622.606537882986
219;16384.793289716195
220;17265.561997036508
221;17215.055817937224
222;16902.2440097705
223;18022.985900032105
224;19193.76608278453
225;17504.32408774869
226;13721.896200717347
227;17819.087196341898
228;15972.73165737591
229;19795.283521147943
230;17452.759446325264
231;17819.151062285142
232;19148.426573770306
233;19308.1321241879
234;10765.047014591857
235;16737.257711179882
236;18810.584297054433
237;15982.099432770056
238;17105.41891803867
239;17237.51899947885
240;18208.65602535222
241;15086.958525693924
242;16874.448400831283
243;17976.602369267257
244;14301.89334025881
245;18442.61645819233
246;19489.05578634234
247;14971.379301639468
248;15842.070501069884
249;17490.90010163681
250;12614.912593932771
Mean;16953.49875926421
Stddev;1918.5772350862762
