Experiment;Best solution PSO
1;143848227990.67645
2;183049550862.85605
3;105390838560.96356
4;106536343786.01765
5;122777089921.88084
6;159782769210.20184
7;119676804126.75693
8;171310940755.45352
9;142670700775.81076
10;205858796903.57214
11;65779098447.16208
12;81226101364.01791
13;96923927330.01079
14;151881612904.98712
15;93224631349.61272
16;56622418813.91816
17;115227634115.2437
18;141799085251.2514
19;133040672829.02888
20;179709740471.68362
21;164643883340.74075
22;148963105226.02783
23;124912151928.03874
24;201733661066.3098
25;184278831017.962
26;160215600041.01392
27;165456880922.1426
28;118522583642.73085
29;147692428280.4363
30;133692347378.73108
31;122446463561.73201
32;99574702005.77875
33;186420698412.56656
34;87565579446.76869
35;110879778114.28569
36;135615923136.97948
37;132088583384.36415
38;162473468657.12476
39;150440532196.66788
40;171572662470.5785
41;209968062270.31354
42;94321921233.7986
43;116382814142.18835
44;146677577614.15717
45;180567769882.6623
46;134309544800.01555
47;125304833798.94223
48;179449427891.14905
49;208751028984.21417
50;147782451638.55698
51;172167352033.8432
52;188558145733.02875
53;140029760788.20874
54;212342264605.90436
55;145438461217.2178
56;160831294606.62735
57;115577155869.65088
58;151167209179.5892
59;164333933943.59036
60;122760194123.89336
61;208293539004.71362
62;114139145789.75244
63;128091341224.27357
64;144014229551.3517
65;59334999038.51857
66;123240600333.51814
67;106612099403.7707
68;117970748692.52771
69;83915855386.33276
70;107819182406.98758
71;135698715020.7024
72;225964890938.03662
73;60432541640.87399
74;140437189265.6047
75;92665429265.3097
76;96049447139.95412
77;169650106827.8374
78;233884965798.70898
79;158398182836.31702
80;225186625929.87982
81;117223635600.02652
82;154971001700.6027
83;127427797509.56583
84;234026888655.71335
85;194320751595.17377
86;223161032456.9418
87;166985137218.45355
88;153741008578.91446
89;120022169177.0259
90;142302912518.65594
91;97035278535.53195
92;152180379310.47427
93;135548822389.82632
94;168616634672.9823
95;139785474517.7613
96;119164056979.14606
97;105410270587.79855
98;158335583703.39783
99;134760332555.22612
100;146297878219.1044
101;176436382704.05615
102;68701499292.37414
103;194458853893.71756
104;155887203637.39832
105;118249982287.17667
106;159836398422.65784
107;134891601911.6193
108;178123086020.21747
109;89291156923.60663
110;177788947762.7358
111;175443307104.2796
112;232831992594.09943
113;66119574586.376816
114;131109233710.71054
115;108814573927.67099
116;101626160118.42264
117;178999395978.35995
118;145311121395.2563
119;111193068331.92154
120;132286632755.8029
121;193655170626.0044
122;172674678610.90717
123;126299069482.46407
124;154427668914.68677
125;81365998404.41605
126;182999734810.42514
127;145983800856.08206
128;133726795488.07884
129;138590962696.688
130;128047212288.12785
131;103753405507.86002
132;98253461161.59924
133;152150584515.58957
134;67814928035.309685
135;127386694630.99286
136;193295865260.23425
137;146530511018.37158
138;49795459244.20089
139;163490111698.33984
140;137352981031.20367
141;117282127643.72101
142;93906816397.00499
143;190328670628.21597
144;211618367306.43686
145;138533161957.42126
146;108073021831.08691
147;127386708502.14096
148;67034108048.77719
149;146061580708.54224
150;107889158686.8336
151;218669334179.40546
152;191844469264.54947
153;105211177634.06706
154;176262701358.89526
155;145596340088.6579
156;200703166111.0871
157;78466026225.13246
158;57446881690.20771
159;148658243062.35724
160;88223780167.73508
161;222213728920.10904
162;114009218341.57196
163;150485108720.58636
164;139966074689.4727
165;136959542414.48595
166;103572731072.23875
167;164243688947.36874
168;111300530582.6526
169;164897676735.6608
170;138372045065.55054
171;173521165634.73184
172;95452498649.55234
173;135277490901.86081
174;97132860005.3481
175;134027941457.09349
176;214203680695.49173
177;96651829149.41672
178;79737551742.29935
179;131022647232.17471
180;193295779586.37146
181;85130640191.51938
182;211508118792.53125
183;122348991672.19093
184;150009566687.14197
185;126812420871.22598
186;90098664349.82417
187;166884559109.5591
188;173072682499.57684
189;166551818464.57178
190;124550084698.09084
191;124199471818.79219
192;109270259534.38458
193;203059252835.36105
194;169231971353.20486
195;250001143720.23883
196;107666775454.42804
197;104780238422.72835
198;167784086946.81793
199;157488817744.17755
200;194333186166.10306
201;75850545212.89723
202;177854590040.11737
203;128512693636.35905
204;135494452398.82803
205;109648003497.05316
206;206124089226.38724
207;103848746857.02563
208;70715727529.17372
209;124688060981.8564
210;133274628859.41284
211;160616951265.59665
212;173880427062.52643
213;159923847641.022
214;192379588716.32712
215;149237306456.48038
216;157391443767.4632
217;55965287775.34879
218;78200810993.23633
219;255613597307.81348
220;170250877476.8386
221;194005809802.57074
222;16542188766.676914
223;170072452731.3493
224;115031703551.2048
225;160154261739.51834
226;100698170987.16454
227;114486845796.54416
228;160240422634.102
229;138793638202.98865
230;177378689340.56854
231;194204800066.57126
232;155851837327.87164
233;147157953407.35684
234;111086301230.2371
235;201575584175.64737
236;119999874504.66609
237;114320165039.2918
238;209608548106.59277
239;156640299918.43375
240;156419462431.09607
241;114925242287.1555
242;134029078131.79831
243;146831169359.25015
244;116435953251.93759
245;101029344378.6146
246;228681735436.4223
247;79955888603.09901
248;92030291328.70525
249;132701080937.02202
250;112760310544.17085
Mean;141495213472.26453
Stddev;41950271063.93664
