Experiment;Best solution SOMA
1;5277.426388689709
2;3325.195017971775
3;7602.792390268736
4;5630.4635842853295
5;6279.393775643392
6;6574.586724955529
7;7178.11377047747
8;5955.712057948291
9;7843.436857867839
10;4878.5104080068795
11;6556.679416930733
12;4853.1093117403025
13;6033.799949417061
14;5678.239087469085
15;5225.966581214736
16;5667.380227525851
17;7115.658855559068
18;3740.0725088990434
19;5753.203074280084
20;5505.241278170018
21;5493.935670406796
22;5250.929213630604
23;6492.197477183703
24;5549.078286486907
25;7498.092590350507
26;6549.66100020148
27;5697.089064749314
28;5644.478156468052
29;4815.438416297991
30;6393.770649116258
31;7413.290956712969
32;6213.906027950905
33;6218.377550386419
34;4749.048076183347
35;4439.327682023676
36;6086.950452812689
37;6830.581807931269
38;7146.239534469727
39;6250.181558839928
40;5341.063800280275
41;5545.074313673003
42;7924.111273063495
43;5104.957219460482
44;5390.057500002351
45;7069.300171761369
46;5899.867825778702
47;5273.09630570734
48;6291.644650269606
49;5694.098505638859
50;5074.635236320581
51;4967.005260271635
52;6171.519381801119
53;5462.412544178804
54;6925.36362799788
55;7377.478723372542
56;5220.377745727852
57;5485.375845911081
58;7100.403570742301
59;6151.515137942937
60;5109.969191343717
61;7171.8243010468095
62;4345.318047249229
63;7047.844887966921
64;6693.689257272163
65;6243.863613342318
66;7199.632692269085
67;5663.36819248029
68;6602.921851149077
69;6213.424274255711
70;6740.178809403506
71;4739.934746267175
72;5331.959252428099
73;6959.895924335449
74;6173.9635107045215
75;6063.525887948165
76;6538.263895646343
77;6738.020133637111
78;7130.113076240121
79;6807.9562000640735
80;4615.374565115334
81;6518.143776953649
82;4854.705219011725
83;6523.18898642464
84;6328.653334959316
85;6566.47066933518
86;5732.836496188851
87;5029.588719459931
88;6510.161348793473
89;5184.221458988641
90;6538.720156784453
91;7462.5251345950555
92;7164.1475088058905
93;5849.635747042984
94;7089.968386415895
95;5834.86559090652
96;5819.6045461045405
97;4891.272391807107
98;7794.681331041045
99;6587.3945597790525
100;6184.288060652688
101;4754.647825148962
102;6058.11672383226
103;5539.617811860524
104;7424.995699666536
105;5265.481830796307
106;6467.378714323344
107;7093.902979297682
108;6783.671852511781
109;6414.614573730989
110;6204.447896838934
111;6763.866302672253
112;6235.923835435368
113;5770.841221211305
114;6528.532960645805
115;3531.573007334426
116;6452.79057698372
117;6177.746652699591
118;6526.767468356479
119;5699.951130062305
120;7123.484725445787
121;4715.288672150765
122;7073.832418711898
123;6072.361679881482
124;7052.446434620459
125;5905.8196490540195
126;6121.328763844812
127;5370.909796482826
128;3777.156788503244
129;4937.300487366891
130;6106.910642945909
131;4844.249043253595
132;6485.863985484018
133;5624.268726835458
134;5698.5598906805235
135;7186.047198200706
136;4699.5702136599
137;7226.955290954386
138;5950.420332765576
139;6723.346918261025
140;5324.266542970661
141;6608.376985934583
142;5923.641146241753
143;8054.8870124423565
144;4760.183534077084
145;5870.103510827713
146;6357.942963795713
147;6284.405858037696
148;7244.276826518962
149;7483.433998179087
150;7592.662825340408
151;6954.208865687466
152;6766.823457104284
153;6577.649198713527
154;5926.824862922185
155;6381.286789953415
156;5822.819039501841
157;6219.149747362057
158;6124.366209763872
159;6784.558785759553
160;6437.669831737105
161;5160.637777816192
162;6836.1179403688175
163;5835.591545180344
164;5987.143747474751
165;6709.255495898074
166;7320.923422470551
167;5426.801889778815
168;5808.488767163477
169;5158.75193579257
170;6705.789844368456
171;5483.661185698979
172;6266.170192059957
173;6309.2559862205735
174;6364.598950102756
175;4672.614361180318
176;7397.490100457238
177;6463.987490269929
178;7454.5496727485
179;7141.788124999008
180;4326.958630882013
181;5062.35106115632
182;6279.810357476684
183;5254.224353483014
184;6856.9120521884715
185;5410.281335145762
186;6373.783488954178
187;7057.438238741299
188;7275.1529092991395
189;6283.5665216328325
190;5021.660638388889
191;6071.18017661458
192;5404.621087282065
193;5699.836108197872
194;5772.019328621715
195;6228.801788484881
196;5465.764848548644
197;6572.935131529712
198;4853.65377950259
199;3844.9257542077685
200;6694.034897340095
201;6489.170393556141
202;6586.931985675647
203;7310.362750747095
204;5742.993100397504
205;7469.690746201738
206;5315.193672534063
207;6282.819260640617
208;6607.659765160398
209;6361.416464911707
210;5166.379942867572
211;5574.308915166219
212;6562.25926778278
213;6048.025773940601
214;6778.09491256636
215;4490.370097470335
216;5464.749106837708
217;5612.758724988402
218;6065.813850692518
219;4929.55092476783
220;5859.720353592344
221;6794.864286591188
222;5580.7358122949245
223;8222.480137748445
224;6204.2632108289545
225;7025.5970950366855
226;7623.6567563916815
227;4345.914908470921
228;6715.909799906934
229;7384.050276012402
230;6474.286430472653
231;5817.4984790321605
232;5094.224915784203
233;5775.523545195495
234;5019.730451728756
235;5108.765616455236
236;5337.94749096279
237;6880.100156270305
238;5115.018689002334
239;5396.684532434981
240;6323.359913528142
241;6312.6988762107185
242;6667.93886417965
243;5870.18543830219
244;4433.614195975864
245;3820.748535185228
246;4767.272631816776
247;6455.227589676528
248;6004.169197021387
249;5318.7359948981575
250;5432.9654862150655
Mean;6054.8781150835175
Stddev;904.8842201165884
