Experiment;Best solution SOMA
1;-2.496456876495116
2;-2.3523466930756274
3;-2.8392351097467485
4;-2.1548102304931738
5;-2.2905504800345957
6;-2.8383158479204593
7;-5.8209905800076305
8;-3.95923294826706
9;-1.7894278799340797
10;-2.501030328724464
11;-2.6764934744060067
12;-2.6770369933067815
13;-2.85055720622714
14;-4.588925004030276
15;-2.2584619039406815
16;-3.5551932911632877
17;-3.654250592648355
18;-3.049981507523561
19;-3.396703989573905
20;-3.252473575903628
21;-2.6252806803290727
22;-2.981463697874857
23;-2.7699074764898226
24;-2.7225126419372927
25;-3.2689163805974637
26;-1.5899550301347516
27;-3.0857136273655907
28;-2.251001541626429
29;-3.091429239517126
30;-3.816686238991421
31;-2.9502831891651953
32;-3.8198918427039605
33;-2.3915257737619906
34;-2.941753160864855
35;-2.6678005897915695
36;-2.523587545839614
37;-3.2417795150251805
38;-3.5614363153308912
39;-2.0216547203235975
40;-3.8781112607992805
41;-2.8718295125396383
42;-4.515099045403145
43;-2.665336214223849
44;-2.068220191200076
45;-3.550757483217837
46;-2.654220260208978
47;-2.374967617072623
48;-3.188828038320822
49;-2.185200562328077
50;-2.186317763948388
51;-2.963493277593118
52;-4.176553366771264
53;-2.574040456143643
54;-3.8386218482392405
55;-3.5325508674840047
56;-3.4873923712111794
57;-4.406302712096859
58;-2.296414062262879
59;-2.496849932200347
60;-1.993829883046331
61;-3.5690948476789965
62;-2.6409194691544795
63;-2.8648252338026006
64;-1.7852990255548367
65;-2.567472781288964
66;-2.6956354568413516
67;-2.1062713525045713
68;-3.7470038086060056
69;-2.4985472996682807
70;-3.8017994687752132
71;-2.9315098705475973
72;-4.169077815295083
73;-2.481101951331012
74;-3.885102336114912
75;-4.448791174938308
76;-3.0756322963149003
77;-2.709203661042559
78;-3.221356392055426
79;-3.809524947939633
80;-2.670649257805786
81;-2.3310853593139194
82;-2.528660735039596
83;-3.1065503478166216
84;-3.388083796668333
85;-3.515652780950695
86;-1.530246798643218
87;-3.7820078806198896
88;-1.7457042601555453
89;-3.182594908356163
90;-1.9948427753082874
91;-2.412370095279476
92;-2.6619484252736596
93;-2.076547016831094
94;-3.5075698213637625
95;-5.053466975402628
96;-2.2897711536533634
97;-3.16703431924287
98;-2.8365480851402203
99;-3.7973452762954696
100;-2.0844369682888013
101;-2.1347546766507897
102;-1.6878144712588212
103;-2.485546647984878
104;-2.7189820033014365
105;-2.2796569917970033
106;-3.3820224570961215
107;-3.048529638015861
108;-3.7691358164086664
109;-1.691015516590756
110;-1.4139923002384294
111;-2.412562665580084
112;-2.320369899086728
113;-2.0931468722929356
114;-2.685983540900977
115;-2.5222473937832266
116;-2.9348170071314303
117;-1.6556769069295947
118;-3.7412579736116847
119;-1.713138740378216
120;-2.5883553407294273
121;-3.306564705364672
122;-3.44646222781519
123;-2.6491043811455897
124;-3.262972272468771
125;-2.5937613846483387
126;-1.9488839910478954
127;-3.215292897525927
128;-2.630824845046451
129;-3.0612353802623167
130;-3.179772847597378
131;-2.2207819090701055
132;-4.008396241980922
