Experiment;Best solution SOMA
1;17076.84800087859
2;19254.501184943496
3;17899.67832706239
4;16444.367487785938
5;17146.098520254644
6;14961.677242834447
7;16857.503960851176
8;19246.920458688575
9;17101.523392082425
10;18374.63445191118
11;16794.7248529658
12;15304.539773002389
13;18251.380376650795
14;15678.520878345094
15;18202.47377983074
16;16496.672937896168
17;18866.42655508009
18;17646.680349984017
19;17616.449129906792
20;18195.94238772057
21;18051.138226160103
22;17644.92653819898
23;19773.152731360173
24;14155.852446421099
25;18698.42555032552
26;18284.07305310216
27;17265.894116393578
28;17825.877278529755
29;17995.16868333298
30;17399.855558781055
31;18508.263251899814
32;18618.531132876957
33;20249.559548063375
34;16885.742046607134
35;19799.29849148439
36;17895.102592802585
37;15969.039262166227
38;17783.448264426665
39;15835.834901108341
40;16231.272630829344
41;17259.671180555877
42;19140.52135786626
43;18637.054142802972
44;15702.98365311739
45;19288.223392761043
46;18433.32926661484
47;16061.615528286125
48;17396.550292853284
49;20264.536781867508
50;19177.118912647285
51;18219.58911258505
52;19065.111053759367
53;15258.268817012553
54;17507.978140404994
55;20061.888115526304
56;20430.363051138513
57;15547.628530550663
58;18763.728154067045
59;20088.219940416937
60;19291.011438166315
61;18145.519568636722
62;18987.979005050933
63;18250.76820265758
64;16878.74636123299
65;18132.138482743285
66;16636.580244177687
67;20224.86127970394
68;18488.42664942066
69;17493.163007695082
70;16771.445061205817
71;15955.88847620289
72;18754.07840617034
73;17754.220920962875
74;19799.78924229962
75;15399.419489566468
76;16629.708969957486
77;17592.622086460215
78;18608.07560327391
79;17236.496744590306
80;18621.73012978204
81;15679.428175983634
82;18760.131879001598
83;19351.211606627647
84;13902.28831053528
85;16524.114583294187
86;19221.749068994675
87;16801.020353134187
88;18379.32687264852
89;16472.557578213527
90;14389.079274746975
91;17971.698348512786
92;19138.114582264592
93;18578.444554083417
94;18985.87762904195
95;14220.920314980296
96;19032.03414678429
97;18481.951136741645
98;14058.965433411136
99;18784.091333755696
100;16292.051213424926
101;16562.06383674196
102;14294.85173627861
103;19008.828122814717
104;17443.282708564173
105;15996.720970118726
106;14377.626094559739
107;19038.368793291116
108;21117.239352659104
109;16341.668368430957
110;15481.462875475969
111;19317.032746435663
112;17923.46900023157
113;15203.998463409343
114;17048.176394612918
115;18918.531816427465
116;19012.601294057997
117;16663.003353523727
118;19052.910715191345
119;16621.06057435154
120;18584.940379542117
121;17368.932979470686
122;18026.474207795673
123;16427.678284796064
124;17691.534065015323
125;17802.98363967988
126;17839.129666593035
127;15139.888618638459
128;20875.74898044986
129;16090.655111707796
130;16310.13182333418
131;18483.831367338233
132;18203.87830560218
133;20486.578721651582
134;16269.19416544334
135;18261.52766298981
136;15870.066865665307
137;18587.279250602853
138;18879.495524388763
139;17362.687831095907
140;18844.24163647951
141;17234.12145648678
142;18446.28305083728
143;16515.076765783855
144;18067.352090419336
145;17325.632524039265
146;18559.372173984684
147;18276.890795303065
148;17854.153254979145
149;18465.719214879016
150;14972.92886750944
151;16620.681139001917
152;16581.297549705334
153;16933.892783935364
154;17454.747803303424
155;17526.61423617266
156;19002.893111023335
157;18485.129835984513
158;16620.884875385324
159;18456.890622698204
160;16916.493672268305
161;15644.926868043198
162;16896.658076758376
163;18391.13188494695
164;15555.74994704457
165;17957.720082658427
166;15499.515608201877
167;18916.38798896072
168;18950.01637923782
169;17441.610464222278
170;16603.104825848233
171;17702.284873277295
172;15096.416573500108
173;16727.765426546233
174;18090.56218340729
175;19418.710474503263
176;19853.372355970725
177;17341.79305246468
178;15614.78761231227
179;19436.5953744975
180;16782.11499753499
181;17385.952129073194
182;19855.601977425944
183;19321.941945477727
184;19924.506145378517
185;15974.146315954882
186;15888.447055359113
187;13252.749179975224
188;17162.87269770073
189;17697.101680916767
190;15409.575806703433
191;16953.39509768375
192;17418.379258143574
193;17692.162410601202
194;16792.266280954387
195;21322.361283540926
196;18232.800066054617
197;15629.349596981016
198;16029.785129526801
199;14664.823427904621
200;12504.045048902897
201;17559.75748564044
202;18627.798574264292
203;15694.54635096738
204;19339.023844112355
205;15531.121950615356
206;19891.54569015234
207;19347.813161043807
208;19210.30440418448
209;17464.696090717287
210;17917.864031550973
211;16263.989362605702
212;17785.72068295485
213;17344.33438947205
214;16335.164261263162
215;16527.12171335463
216;16347.521134746046
217;17134.979791757534
218;14002.73429575339
219;16629.30370554362
220;19043.133230558098
221;17836.367057090785
222;14685.548807113295
223;15025.814287458916
224;15208.096983359452
225;16632.017715911537
226;16044.140276771968
227;12629.092701701391
228;17569.033386221996
229;18558.441256817692
230;14772.573946208779
231;18005.13566447811
232;18579.484784350974
233;18505.1281068893
234;15791.627949323569
235;15960.173316313987
236;16983.480229483364
237;18566.37297599045
238;17429.638098208576
239;16192.625876693046
240;16451.679804325468
241;18900.987605429684
242;17574.71252700758
243;19322.0349078391
244;18352.17861934827
245;17230.556816784545
246;17854.536070051745
247;17977.66834705025
248;11955.337284075984
249;17549.992120610477
250;21299.351550726155
Mean;17467.570993931065
Stddev;1627.2188324914264
