Experiment;Best solution SOMA
1;2044538101.0781062
2;1695311825.5401323
3;1496415531.4465184
4;2366707112.6851406
5;1696700383.7390199
6;2158825386.09967
7;1754770706.911362
8;1725983092.6883583
9;1470676298.1359477
10;1942736016.0982351
11;1647854697.8039963
12;2327243924.7324114
13;2045957358.619166
14;2087792942.6293197
15;2131896385.1652827
16;2714941456.7153335
17;1765304253.0379765
18;2012899418.1770594
19;1477128234.0133746
20;1169271930.5683446
21;1364823118.9579947
22;2107187624.4924467
23;1139134111.9200187
24;1723336494.8937306
25;1707322203.5338664
26;2077375899.515663
27;2203486638.022943
28;2523606721.219108
29;2341446906.846295
30;1854431624.6358662
31;1545426128.89286
32;2023648626.38867
33;1723070112.7598138
34;2362715669.80624
35;2170583105.2413425
36;2068234323.7328465
37;2116828446.9148808
38;1726580813.4286807
39;2313659685.612217
40;1270871329.2496402
41;2296726335.431532
42;2219713541.897841
43;1887201679.328908
44;2375258951.1840057
45;2775085126.6852255
46;2875565259.2273607
47;1512376397.220848
48;2052262799.8983982
49;1893769016.8434436
50;2409506960.378043
51;2317494629.5164456
52;1735719741.2658923
53;2107030959.7337542
54;1380760703.8659117
55;1227259859.0312295
56;2174890026.234181
57;2246684510.6889887
58;1554923401.884995
59;1376138013.242969
60;1921389113.4748073
61;2235609127.4546947
62;1727751462.710152
63;1937650889.8146772
64;1462426722.2970097
65;1978480050.2768016
66;1675001325.8366342
67;1868189354.3994997
68;2648830972.787406
69;2496938432.790733
70;2263605772.3133326
71;1970399658.9730222
72;2194018022.3260045
73;2359194151.6171618
74;2137377084.4809697
75;2772564325.3200765
76;1945557082.123679
77;2123001805.0596626
78;1169015617.3441868
79;2588403914.753918
80;1964279419.7268696
81;2216320816.4459877
82;1619811976.7904668
83;1679891679.153869
84;1670166376.3186784
85;1704001207.213075
86;2008015051.2776296
87;1507027334.4056761
88;2606689425.077879
89;1775301857.1649024
90;1937176648.103695
91;1913932800.4531653
92;2405948574.3978195
93;1863415423.9218307
94;1676293635.4732335
95;1968529010.3041444
96;1636160293.264669
97;1482415941.7637138
98;1945871541.330573
99;1186353339.6228864
100;2247609545.94032
101;2227426418.2575994
102;1619368786.1393118
103;2013164012.4664805
104;2632911471.156136
105;2433968682.1140623
106;2105345401.0602365
107;1422701224.0161047
108;1485724615.538714
109;2085623196.3696454
110;1386131692.2150598
111;1841571629.8621807
112;1974582710.9936182
113;1877789423.4248307
114;2079356308.610154
115;2116628497.243003
116;1841044732.9218051
117;2565449069.4806867
118;2517490897.747375
119;2282114804.833663
120;2063400200.2019496
121;2155122388.4466944
122;2111087055.515335
123;2149464479.608483
124;2061362988.5045922
125;1726012124.1177921
126;2208744052.553639
127;1974066143.1231124
128;2113131455.113765
129;1768732650.0633433
130;2211725462.866844
131;2070893636.4638505
132;1726319029.4136322
133;2251460742.0149274
134;2356695138.8459005
135;1527101565.6884415
136;2044199328.8024042
137;1920460576.613058
138;1750012414.583314
139;2072468340.4006414
140;1911178165.935795
141;2429460970.4196076
142;1780554130.677766
143;1920632733.9594197
144;1649724239.0525253
145;2230658598.4043593
146;1510473912.5215938
147;1960209524.4117272
148;1804540498.8732207
149;1758728243.4199004
150;1933853916.5596335
151;2370858457.619981
152;1693346657.6881418
153;2070693422.5778642
154;2433769745.027675
155;2391544546.2566
156;1944749221.3087656
157;1882457180.2248104
158;2832021697.9026675
159;2182854139.137076
160;1870621615.2692275
161;1920207346.4218934
162;1842122922.7433093
163;1432773502.1810055
164;2122703402.129942
165;1504074293.5892282
166;1547945208.5274332
167;1729923668.1981828
168;2240734097.0239587
169;1522864044.0759676
170;1695760702.8371937
171;1939080498.6515312
172;2252621790.9912195
173;1510796510.2719972
174;2026102498.8580322
175;2247727649.267575
176;2241861098.7805886
177;2503130962.1509533
178;1717933130.268804
179;2014408012.0418565
180;1390168633.2957792
181;1582354181.9737742
182;2113630075.5784414
183;1756187169.5575705
184;980962026.7716012
185;2056361882.5908713
186;1938307003.0340753
187;2422234731.646373
188;2350983829.2714877
189;1892944412.8683603
190;2147738879.9640775
191;1662640500.021719
192;2402523631.0830116
193;1293539602.428331
194;2287380745.391811
195;1019121039.8527751
196;1756112153.5748825
197;1807636599.6055171
198;2034509972.677708
199;1885498382.9150214
200;1930113223.2846873
201;1779096073.943928
202;1922286433.0464318
203;2028399112.6193104
204;2163812660.2182693
205;2217852659.150482
206;1723078601.4355137
207;1408185765.4078193
208;2291615433.8936753
209;1568738158.5814528
210;2284263676.548726
211;2478741784.0483394
212;2175603569.228061
213;1986217157.833479
214;1943648699.2942
215;1651525406.5415807
216;2462016045.6395154
217;2068639806.2040007
218;1880208600.950052
219;1778903291.0064201
220;2860164401.5206656
221;2211677241.609767
222;1702856917.1116045
223;2054729141.8632028
224;2086385829.05522
225;1578571865.1033523
226;1922246231.2071264
227;1666045686.664545
228;2046816063.3979888
229;1497640526.0987253
230;2541554587.5724716
231;1704874312.6974862
232;2254751465.083438
233;2131876253.625808
234;1943873401.076138
235;2162438422.1360784
236;1940379471.8093162
237;2396203081.7311993
238;1600446795.1344314
239;1316906741.940046
240;1543348608.2058828
241;1568199089.09257
242;2217982126.1573777
243;2150132933.1351547
244;1753400676.3704085
245;1521003531.56156
246;2364812564.796661
247;2021907478.7153401
248;1820715308.3886797
249;1808336156.0978928
250;2234684960.996854
Mean;1958004036.5056124
Stddev;356100701.01302624
