Experiment;Best solution SOMA
1;12389.673554131572
2;12376.568548903371
3;12420.094738648915
4;12350.808359755145
5;12480.01718605002
6;12386.72916818031
7;12430.858121199284
8;12519.242359384552
9;12349.398840956328
10;12400.71092409287
11;12409.720228368766
12;12423.387957858758
13;12393.774022336265
14;12424.994704033099
15;12395.213300790689
16;12410.62641003562
17;12359.197149468817
18;12329.479852187887
19;12343.169927530904
20;12399.409828258851
21;12379.719650294273
22;12392.558826329117
23;12362.895784403428
24;12394.558018032207
25;12410.911274577515
26;12296.313385132964
27;12400.259110989113
28;12338.164063434933
29;12386.227081842311
30;12383.184825812059
31;12331.019928154908
32;12452.738849893629
33;12426.041680312055
34;12406.452421270951
35;12408.76590225147
36;12410.925798274904
37;12350.396953986303
38;12443.182350078241
39;12373.503866569716
40;12419.743071537905
41;12392.799589650333
42;12378.34513778109
43;12395.805153426218
44;12240.142682925476
45;12312.162178750455
46;12321.570755393948
47;12445.950834174568
48;12380.841578967658
49;12388.30108825922
50;12403.61863892429
51;12366.414252116385
52;12376.068872679945
53;12402.855400715891
54;12279.601320733816
55;12415.66228788826
56;12389.458539256002
57;12361.517440347612
58;12312.433350294537
59;12338.551027213703
60;12353.429019724294
61;12376.104452056023
62;12385.151798047315
63;12426.730381666039
64;12361.371781906506
65;12335.658465675686
66;12419.857527640312
67;12415.934882505619
68;12363.088901526102
69;12421.700656591203
70;12449.603180964563
71;12333.877604502539
72;12345.950889270442
73;12396.629612943558
74;12364.285936777238
75;12410.18896966372
76;12415.197716526935
77;12429.954226610289
78;12367.182832780367
79;12432.440543015415
80;12433.669268305834
81;12414.704521916336
82;12404.824990081179
83;12435.001283045685
84;12408.141024871655
85;12276.0386830304
86;12427.533074809067
87;12397.99794039683
88;12474.337274894237
89;12393.98488618698
90;12395.891289171024
91;12450.814878019795
92;12361.92354719608
93;12435.522349262204
94;12440.365021518464
95;12442.116048344353
96;12384.48158633633
97;12423.34988679025
98;12361.743523796351
99;12313.713874213434
100;12391.743712460464
101;12438.56996225851
102;12419.80842429553
103;12339.814458960642
104;12413.23167185885
105;12432.18546840132
106;12282.361654543602
107;12385.998275948063
108;12390.406463360505
109;12433.584376767254
110;12404.915533579328
111;12371.85896149664
112;12432.649381216208
113;12344.302290161479
114;12366.323872107705
115;12440.704009320234
116;12428.643581939627
117;12401.20126952581
118;12424.240253763754
119;12364.727604762893
120;12382.327527537862
121;12357.066130071671
122;12416.224061561914
123;12370.24248940589
124;12355.923307345975
125;12402.17458729649
126;12425.219683697816
127;12382.01284310037
128;12451.270682534963
129;12418.46066940486
130;12445.455544121276
131;12359.084221173342
132;12410.865934843468
133;12342.623918244835
134;12336.48578998703
135;12353.447259485967
136;12404.289212857731
137;12375.75156325201
138;12365.410142554309
139;12419.404996308835
140;12354.800517508595
141;12398.454567864383
142;12313.588158906585
143;12359.224637809764
144;12423.64977089973
145;12382.800465077744
146;12338.832655144075
147;12421.542346581762
148;12409.358744965197
149;12360.688144176554
150;12419.522409912113
151;12402.162966813532
152;12357.986093880596
153;12391.051714210806
154;12435.32194896848
155;12383.19549032345
156;12407.128619708985
157;12392.501456906737
158;12311.120380216425
159;12330.848909617407
160;12410.595913860503
161;12372.723745949574
162;12370.714667674205
163;12360.847904420712
164;12355.438463831177
165;12434.550327767198
166;12396.12167100073
167;12414.68938125587
168;12417.420931337982
169;12363.16679829874
170;12369.193309062084
171;12377.938107617218
172;12370.191620207046
173;12302.707258371891
174;12316.057802844021
175;12346.278349360833
176;12427.564889678437
177;12359.968693990511
178;12360.46551305485
179;12459.222528256945
180;12378.62009898087
181;12432.171505701383
182;12289.920141863313
183;12342.305409587278
184;12451.568226317042
185;12363.726391551803
186;12363.416050528347
187;12362.340610563137
188;12382.915794094599
189;12395.958955529864
190;12443.732382734857
191;12317.335313220117
192;12409.792928088082
193;12388.387023330479
194;12381.8187845907
195;12383.60007460988
196;12424.615693448399
197;12370.70125364071
198;12413.039263857212
199;12305.519206601179
200;12444.083459000829
201;12339.676855071077
202;12474.478726860681
203;12394.477830717333
204;12379.960772463812
205;12367.761495911518
206;12326.37979407517
207;12428.414250229791
208;12404.56513887328
209;12448.883069964899
210;12400.687353255027
211;12413.829356658509
212;12401.59192128604
213;12429.746765167702
214;12362.124139413843
215;12426.673757445407
216;12397.496952625464
217;12447.60228494237
218;12404.894669408908
219;12378.970829257567
220;12463.013347801212
221;12373.227226108447
222;12372.826571408084
223;12407.144154688192
224;12456.018862838577
225;12435.129962282826
226;12412.311084227422
227;12370.542406796976
228;12407.392724697997
229;12417.51952074513
230;12325.308348484203
231;12376.995200301606
232;12378.801119719205
233;12370.353030285076
234;12374.90718227858
235;12392.324269811568
236;12414.98103799918
237;12400.046119620376
238;12380.353883500025
239;12465.465819703508
240;12402.88984140123
241;12401.960720755595
242;12419.261425885583
243;12396.265214676401
244;12367.082228796353
245;12406.951472461828
246;12304.343074210305
247;12427.754490750403
248;12333.775839343314
249;12382.634363460185
250;12395.20299708375
Mean;12389.24180091948
Stddev;41.12907862074288
