Experiment;Best solution SOMA
1;16938.42405227986
2;14248.340088169638
3;17306.270065841658
4;14721.376003462961
5;16462.786960841753
6;15463.51208465575
7;17005.936720976464
8;14334.750990013392
9;17534.655344765408
10;14557.242706649722
11;16949.235000126173
12;17972.497492270348
13;16281.476519168815
14;13090.024182644429
15;13544.687912450016
16;18358.58606378138
17;19555.8589490509
18;17048.956799526695
19;16440.464790723006
20;18539.747427052338
21;17772.636177176228
22;15280.797742691777
23;15108.240514447009
24;16607.65990020485
25;18639.4506016324
26;14542.696929300633
27;16096.691955702707
28;17444.3758696724
29;15237.639424535933
30;17969.45658599992
31;14345.89321206922
32;15880.792217139458
33;17818.631705213542
34;17613.252442635938
35;16429.545259741466
36;18252.980396421004
37;16724.95510807274
38;16763.572367935507
39;16926.096692192677
40;15024.715310801843
41;17671.83812326215
42;14631.740269967555
43;16912.189450227368
44;18326.70871490723
45;18446.728545129423
46;15143.389058058554
47;16396.757872960596
48;16329.924390654156
49;18129.144944627074
50;15951.058458508867
51;16667.42972793032
52;20351.3735594775
53;15461.283886650566
54;19379.088861221895
55;16024.732288158433
56;14805.910916673007
57;15677.105614721075
58;17625.777185064802
59;16600.854520350393
60;20152.319996265167
61;16928.759494463502
62;12680.231711895414
63;16622.311543053966
64;16878.06417805328
65;12688.519179278243
66;18877.728553371897
67;15220.23440787211
68;17881.426066325243
69;16594.53349322137
70;15076.523341848451
71;20152.799583253083
72;15575.702222490292
73;18057.87074969108
74;18740.02719834443
75;18851.354777195847
76;18482.373147003032
77;15649.338028456095
78;18140.273095114466
79;14861.287094103216
80;14354.09543285201
81;17769.401948036484
82;13376.790182417948
83;17892.226197994496
84;19381.372296181762
85;15791.51978751426
86;18579.449546297597
87;19248.540254262054
88;16717.661881856802
89;17785.993493143145
90;16954.4164558983
91;14467.103224448216
92;16606.430431009256
93;16224.55241956445
94;17640.58111912103
95;18928.713567553146
96;17868.59718668825
97;17349.23950205899
98;18253.040160284854
99;18338.35672431638
100;14965.55364091913
101;17224.940931227142
102;15639.445559270564
103;16398.409940349942
104;14957.423011115425
105;19038.148889676577
106;15910.366579176063
107;16889.67375624738
108;16263.636040481813
109;17217.47627758473
110;18819.980173855078
111;15843.94824300292
112;16961.04905627144
113;18045.982096771728
114;14673.406265914955
115;16524.89620571255
116;17383.53321309993
117;17514.94313147125
118;17828.21787987853
119;13132.931892478297
120;15960.07296329928
121;17716.284157656526
122;16469.875008984956
123;16683.135436615474
124;15624.148467523737
125;18826.459313069987
126;16056.865251607574
127;16669.55610439608
128;15522.82321157931
129;19100.258960375355
130;12933.582584385365
131;19613.67888055274
132;15986.34253653735
133;18454.981725895417
134;15646.015766472516
135;17340.591966322885
136;16970.35818965289
137;18069.565116731257
138;19330.64983888391
139;17482.966009295356
140;18112.403079771517
141;17611.027404461158
142;16974.224750180158
143;15915.628392032739
144;20390.917699936843
145;14425.709541788767
146;14598.189685333224
147;15793.405014398462
148;17928.34277853286
149;16941.219472366152
150;14534.834866861142
151;17334.879285155093
152;19857.98092373826
153;14785.143142493122
154;19159.50166667302
155;16272.87688982424
156;16740.081046430663
157;12912.43981545592
158;19044.284052597188
159;15080.954294892448
160;16849.314920455538
161;18241.313191123994
162;15677.066601023085
163;14736.264888983704
164;18261.141020579485
165;14866.705395547779
166;19076.169410175768
167;20013.0654236864
168;18818.485711377572
169;17162.41504919487
170;15982.044029906518
171;19132.645069543003
172;20035.643729187188
173;14725.687847362378
174;15790.966554470622
175;13644.670213190455
176;17933.41099507168
177;15809.192347538497
178;14591.094978219568
179;16379.596167728527
180;18309.547903397677
181;17254.42578804733
182;15725.826429440292
183;17443.94567912943
184;16916.917734516064
185;17901.57255836817
186;18964.138014149084
187;13071.910148172086
188;15997.676035376824
189;15042.069562105755
190;17613.088370186353
191;14903.746731448946
192;17762.312437317152
193;17740.341104891788
194;15645.198200792314
195;18817.79157462837
196;19017.554443489982
197;17751.076681025337
198;18293.626327606078
199;18092.057573862727
200;18151.50385876946
201;17626.04572823467
202;18076.421330804984
203;19017.984490620453
204;15265.795594452315
205;16628.669257698555
206;15620.614374476165
207;18325.213844975216
208;16141.66561969167
209;17646.21758489842
210;18074.845226891848
211;20147.23935662492
212;16830.418808074326
213;14557.848266156649
214;15647.318452239844
215;14274.77488904334
216;18026.46311688369
217;16968.5068010859
218;16470.125915219935
219;19860.865330848315
220;18804.467898368206
221;20256.33568794518
222;16062.882103293425
223;19576.935140265872
224;15834.304111208126
225;17764.65962251393
226;15305.410133051486
227;18484.926629662037
228;17400.56574566205
229;16762.47324771208
230;17923.135049385244
231;17477.69298109647
232;19442.275960898543
233;16609.68075756824
234;18164.21313271074
235;19521.669632607307
236;16036.282542335399
237;15095.629208657958
238;16485.66260399074
239;18136.469550925307
240;17631.14190611744
241;16490.414069887433
242;18348.46644995437
243;16180.294634843709
244;18768.88647920523
245;17487.167033940674
246;16487.98351575038
247;16551.89918463419
248;20044.878333985638
249;17983.938828963026
250;15636.947733447876
Mean;16924.887477229004
Stddev;1672.40792641262
