Experiment;Best solution SOMA
1;173844607850.93903
2;178129393629.05786
3;102910909515.41513
4;40456587299.93438
5;78580375797.67654
6;157956923905.74213
7;75311841351.97691
8;144863828203.60046
9;173328671644.7055
10;182719407140.55707
11;115703391131.70644
12;70001418627.18733
13;126595453717.87836
14;168074528020.1405
15;160181011895.06305
16;142738006990.91473
17;123321017984.5669
18;144141016054.97086
19;183957619593.04904
20;122707666836.06972
21;28165976350.646465
22;91705785307.7662
23;143410845692.07095
24;137346313079.73451
25;110511908094.7945
26;184972551562.30237
27;125185295601.86394
28;113685546584.00188
29;173282196003.95987
30;150718400740.123
31;152986057444.08997
32;84911527691.24028
33;100789641501.45737
34;77994800423.71877
35;165903794798.34558
36;91886386792.94409
37;146970147059.59894
38;75372900507.6771
39;164063159283.79553
40;104088348433.40953
41;116089606918.74466
42;134151933357.9398
43;89650130471.32059
44;65905415120.65361
45;81415307989.95578
46;155030389193.23666
47;147583205731.01724
48;146681925178.9866
49;229251119393.35184
50;163230799600.02185
51;126738153372.91731
52;126326831129.25282
53;131996122036.94164
54;162078212175.46063
55;142581810310.9221
56;50932602964.96211
57;113174156938.23836
58;108229930731.7042
59;65316763510.06344
60;86783447864.10281
61;76571255767.2658
62;142796558628.39645
63;153365233698.21954
64;131544076073.57506
65;168113545071.70236
66;162311587288.48425
67;146445494694.2175
68;144841195318.55072
69;132662693376.59944
70;171124003218.16394
71;105857954214.1107
72;165774226909.38104
73;183170093595.13733
74;80347538190.94762
75;97726863207.62537
76;87435161598.96649
77;107839858081.91283
78;136213767518.95639
79;173756839295.03238
80;113361870375.35727
81;184932655296.58167
82;133520746135.43674
83;145617970215.50916
84;183517504518.46445
85;133659788110.72867
86;180063694744.64172
87;60947795857.17499
88;113588212025.25745
89;146279338238.7469
90;44948766289.06645
91;140599544068.07922
92;189755252451.12692
93;126827949554.00467
94;86746048808.50798
95;147486568098.9064
96;172724883329.5847
97;220542652389.91635
98;123669320898.76805
99;183655745306.66205
100;132505056480.73874
101;143641187367.71985
102;176379096537.07925
103;131264530556.52557
104;93207488031.66818
105;90937371291.79602
106;104659162446.7453
107;170202487850.90668
108;64672466888.42994
109;171781328317.0459
110;106614024821.3977
111;156877689587.9374
112;189640526503.76984
113;175463824014.2478
114;168725777837.58267
115;104044595199.44756
116;187627022897.59113
117;76471089414.18939
118;133420470581.13652
119;205298227229.405
120;64309771282.55711
121;93759141915.4932
122;100960160710.7456
123;207970605844.71362
124;93987944439.65909
125;103618523566.02315
126;131513412980.50298
127;134880017460.02304
128;182428130538.15134
129;43478824675.00728
130;184961920152.74493
131;159708018413.8413
132;158345349815.6065
133;132066780321.06676
134;166598457415.01
135;154334302549.329
136;124420053237.09515
137;124162657049.47598
138;185977989287.3253
139;66630065999.161026
140;110808825074.48563
141;134414009865.51297
142;169239278253.9922
143;131648455853.57661
144;102824324640.27032
145;165676965689.00992
146;166576063949.63647
147;213843060153.91412
148;108125605508.74208
149;113856103004.19633
150;109662391549.86806
151;187542428042.76138
152;179690786871.24164
153;232718457319.63416
154;152639739043.9753
155;129100255791.87186
156;144393364761.4584
157;144193691117.93652
158;79554821833.29138
159;96544300285.72157
160;116942413059.44382
161;177539915942.30258
162;113407697624.56383
163;167334479283.5384
164;90613904660.52383
165;100168357258.19579
166;134237193934.48483
167;139857024505.50192
168;64432861833.34081
169;174330370061.54523
170;65311754358.57655
171;86977337091.53027
172;120655590023.54524
173;193603525742.65317
174;214297521767.8887
175;94263017740.9775
176;194002649851.83084
177;123417554999.25418
178;96429186830.69128
179;122867865496.78227
180;170569119090.04257
181;185445033487.20944
182;170492123963.44568
183;149881443941.93527
184;155174772672.19034
185;184146438478.9111
186;98057450042.8522
187;158110352121.86954
188;153316072012.22974
189;193905491941.4284
190;105366904705.04713
191;157013804538.10773
192;170704572506.5823
193;116929639699.15456
194;103776732474.56116
195;58734414189.53908
196;124184445877.16675
197;199236063439.23154
198;127544804681.20612
199;87458487994.73419
200;138013794389.4452
201;118489162450.61731
202;152756322862.23105
203;83444352602.80716
204;160129410803.43076
205;160729159013.75467
206;160027756065.0451
207;136323894642.74013
208;233465649794.9943
209;131289584727.73912
210;124237335121.51004
211;213191955942.4629
212;164453924836.5532
213;166479183230.56146
214;158811619931.16235
215;154021152007.26907
216;133124566355.29698
217;97957871441.0807
218;148324974161.21237
219;154979824324.48605
220;161753406338.3119
221;196201105312.4572
222;130241323057.65001
223;119724971521.0778
224;189735414263.7441
225;108727200913.99184
226;141500746933.92416
227;171506173075.71478
228;131978130656.77655
229;140349978613.47467
230;110404817210.13974
231;81243084327.10089
232;143989281851.399
233;180112712767.9207
234;209845143239.84842
235;145265706142.24432
236;226173880857.8971
237;129411371648.44002
238;139952478378.68237
239;91704993871.38417
240;108904842080.30714
241;179317000797.8378
242;119027191137.08725
243;45725122886.06068
244;104072789327.3052
245;78210180147.07191
246;174935695397.59412
247;95715520384.61725
248;133206335630.1027
249;98192089987.03017
250;139091722099.85245
Mean;135523104608.8013
Stddev;40593388962.67857
