Experiment;Best solution TLBO
1;4.443368134111132
2;5.2810797200497985
3;5.664887971475388
4;5.222639186165957
5;5.257393929441659
6;5.502024763693413
7;5.371755407196783
8;5.329904742571666
9;5.55930197780659
10;4.815138287618266
11;4.849113089385449
12;5.090723195768148
13;5.100753799662446
14;5.198508096690983
15;5.127164859636401
16;5.837211875228719
17;5.4806728968653
18;4.435925907133159
19;5.480940874227769
20;5.024408887131083
21;4.8041342240940175
22;6.0231864363744645
23;4.669115030330916
24;5.692209189404471
25;6.061965753242921
26;4.6256046435840545
27;5.488586754105873
28;5.857700203249604
29;5.07726586828862
30;5.530545102996274
31;5.2615291453365645
32;4.878086522122022
33;5.202848521564186
34;5.259656957775146
35;4.831040811412771
36;5.70321336334605
37;4.872984558015293
38;6.016661067158342
39;4.833078423667972
40;4.991598670528873
41;4.904129464128738
42;5.414710708641095
43;4.825292245007351
44;5.612434113555087
45;4.965686672918428
46;5.3942337716576665
47;5.976849144742657
48;4.68156725095473
49;5.820810138910388
50;5.548804527062095
51;4.3433939967334485
52;5.762735292743486
53;5.52350874850983
54;5.416648546877474
55;5.037867749912262
56;6.121008310858796
57;4.646525213097938
58;5.733556542721843
59;5.057127637982464
60;5.174631382213943
61;4.652427858038378
62;5.303248989967861
63;5.052037269068321
64;5.349030552323849
65;4.641490378869585
66;4.714271011940571
67;4.855948356438084
68;5.2208085259745
69;4.932387560792609
70;5.4866421061023605
71;5.551999794740405
72;5.580983875456355
73;4.897358885123796
74;5.454402805079428
75;5.438548508614327
76;4.797172991603922
77;5.272912407223579
78;5.235670579660361
79;4.067894220283067
80;5.610989258613147
81;5.732834506151126
82;5.596977627610409
83;4.911373913278062
84;5.1743151807251655
85;5.085446731926607
86;5.5692413722957
87;5.3408815356535335
88;5.801255176162786
89;5.011648548676046
90;5.035078349602348
91;5.726796427329197
92;5.1041603065479055
93;4.81632058735042
94;5.0197189791703325
95;5.6969786584448014
96;4.4175536373367645
97;4.496909680275681
98;5.561718777437099
99;4.816243545179225
100;5.450891459706033
101;4.58161964895253
102;5.689366829172601
103;5.12001257951714
104;4.896690110443602
105;4.858860337023557
106;5.724865211507403
107;4.945340140392812
108;4.4106055020003625
109;4.970189211342419
110;4.805299003337682
111;5.53322343043996
112;5.513032422059327
113;5.72736261972711
114;4.942167323115088
115;5.215953666344751
116;4.839079208666725
117;5.238267976632659
118;4.7372255474535665
119;5.551180363204432
120;5.824727759752373
121;5.0831040219001755
122;5.061741574941471
123;5.598607441316386
124;4.763642891245529
125;4.9236497383794156
126;5.018118847142945
127;5.309247456500193
128;5.076465143105557
129;5.750062720370045
130;5.183240714459734
131;5.636185514021044
132;4.6151584037677935
133;4.54104675306931
134;5.426641012053129
135;4.091000918047028
136;5.656402141291497
137;4.856284843869487
138;5.293981318307675
139;5.616108205952079
140;5.9308814685546505
141;4.353070458038294
142;5.600645925438826
143;4.958557082737208
144;4.314292840757527
145;5.482294087415827
146;5.640981318321094
147;5.4131025302486195
148;5.662594089220059
149;4.4996962238758424
150;5.274686213085076
151;5.31654137728024
152;5.542415134092495
153;5.764822244476266
154;6.316557664493521
155;5.191689774707935
156;5.362785148190503
157;4.87756431013392
158;5.87983742524017
159;5.319219146050287
160;5.538668995496936
161;5.470602691444136
162;5.2471073771496135
163;5.700224287410827
164;5.889838056930876
165;5.567248876235586
166;4.978741579213499
167;5.001802163614292
168;5.359890286319254
169;5.652178983434614
170;6.1474829281166725
171;5.426217435825464
172;5.664894243957166
173;4.661427648108168
174;5.255311474959785
175;5.709487234128308
176;5.700243688426399
177;4.874823333339922
178;5.840067470604777
179;5.3777506433516296
180;4.845920012091281
181;5.563017719733443
182;4.64710187209352
183;6.16074892016001
184;5.215830535826999
185;4.821074542311308
186;6.635473057978148
187;5.220398508149085
188;5.268707874371147
189;5.4129154047981025
190;6.0759533769038345
191;5.833244965371115
192;5.308777968603503
193;5.281282001392162
194;4.474297012681612
195;5.354214358445949
196;5.975903102072224
197;4.997392181550739
198;5.5725134588585865
199;5.206494287106915
200;4.494653187650703
201;5.138969835161505
202;5.1874482570566895
203;3.877274421719134
204;4.94483140080831
205;5.366760149178762
206;4.908425819717095
207;4.686027521853822
208;5.890442081769943
209;5.5715083509211425
210;5.435895775005148
211;5.213312828666387
212;5.4477040075347105
213;5.544686342345569
214;5.117101041545223
215;4.970773246463781
216;5.472551609326524
217;5.717787990499901
218;5.363665103957637
219;4.92484737055973
220;5.1810916993016916
221;5.47831506757846
222;5.486970506237916
223;5.284611017132326
224;5.55576524063877
225;5.340463605357185
226;4.753267354882078
227;5.541512521874824
228;5.002039271666002
229;5.589630802908491
230;5.697309917561694
231;5.426598749995116
232;5.382400765377754
233;5.156951683441499
234;5.381544898617614
235;5.7439063488470525
236;5.96571778217293
237;5.185204665510239
238;5.010935115359474
239;5.800624815689883
240;5.99042712339152
241;5.063276005486646
242;5.606208656804389
243;5.123647589597585
244;4.960948705182538
245;5.125330675013929
246;5.619019862131395
247;5.456983415418186
248;5.085227690148494
249;5.575731851818864
250;4.93244335489733
Mean;5.264960231671995
Stddev;0.4370984556601533
