Experiment;Best solution TLBO
1;6655.572669562796
2;6342.435965333477
3;6189.624430775723
4;5272.494335339154
5;4358.305754254732
6;5329.547819556505
7;7588.912453747656
8;6993.6446247071335
9;5459.215108261309
10;6909.671800039252
11;6485.553735349889
12;5953.230927641587
13;4746.638821104812
14;6906.043104732573
15;7161.203150078138
16;5838.550332773897
17;6374.160755536376
18;5295.186262084169
19;6936.177886329571
20;7026.724274125016
21;5387.893583585589
22;4535.873512841051
23;4565.506219034961
24;5300.372195695621
25;6301.136459673721
26;5659.553048698163
27;6721.121294486229
28;7035.223764375418
29;7614.278470486225
30;7231.62646339747
31;5317.163010232742
32;6151.593640028392
33;7250.659786733879
34;6692.933377381116
35;5421.219606362528
36;6140.40957246169
37;4172.080348991758
38;6161.210962880763
39;6196.005526685928
40;7070.577804269846
41;5714.239502380815
42;7097.994190272435
43;5975.435814490114
44;5041.53267046782
45;5458.950071979931
46;7335.51213745105
47;5561.298155179111
48;6784.2226694506735
49;4102.887603032733
50;5810.67584335484
51;6753.3986366355175
52;5680.585177285292
53;6288.45766342145
54;6091.835283216293
55;6246.57084631334
56;6112.856767324092
57;5358.529830997362
58;6435.906689066849
59;6051.6074342200245
60;6093.340992144628
61;5890.057244835506
62;4291.713436574115
63;4057.5286459989607
64;5398.225034713286
65;5521.594453286232
66;6398.936416154673
67;6566.407841646072
68;6935.786816798591
69;6669.345337449842
70;5814.831178322402
71;7032.943817782586
72;7133.569356568016
73;6619.591539079534
74;4990.778855455132
75;6744.740319088289
76;3569.8115747314596
77;7055.686400548822
78;7504.508518256587
79;6459.89247171767
80;6301.591868295956
81;4916.6697629763075
82;5254.377173988513
83;6762.687428523852
84;6672.224222621389
85;5718.073159782287
86;7004.945720840744
87;4850.693691227078
88;7322.599855884644
89;7061.404517039499
90;7290.902016398995
91;6602.301798889885
92;5239.634526447206
93;5445.650057881532
94;5486.30451522524
95;6738.755339771597
96;5046.723630691705
97;6818.900423519966
98;4769.805103594549
99;6368.901240854779
100;4757.939466014126
101;5654.415276168577
102;6614.742245360287
103;6821.68293934427
104;3848.8185897126173
105;6263.453194071164
106;5880.814901284625
107;6892.855023374312
108;6714.62431589018
109;6387.620639890056
110;5564.920059705988
111;6741.967122196896
112;7615.222257971227
113;6729.271085192243
114;8044.928907722262
115;4567.575579337263
116;6357.63809271389
117;3689.986692019488
118;5396.012614847426
119;5778.052367234862
120;5018.2371523892325
121;6354.836662926139
122;6129.844016165392
123;5854.246280023788
124;4188.755149893294
125;4840.342082348885
126;5159.262247279286
127;6391.982979801916
128;5358.644161536546
129;4052.2826034241566
130;5769.175386701705
131;6620.9894583722
132;7302.729882809607
133;6557.941391300186
134;6046.834022930322
135;7145.960090874369
136;6572.7666745188
137;4942.490532706965
138;4622.116692376116
139;6868.309788255696
140;5407.15329212264
141;4619.664970057866
142;7092.102456438773
143;6276.559244593787
144;6614.3218067873895
145;6946.570978257352
146;7313.215558569914
147;7395.135508065078
148;5428.881537848612
149;5814.38322763612
150;8150.180973333104
151;4491.731433357793
152;6679.493471623297
153;6318.543384357116
154;6244.890288509813
155;7212.2046628539965
156;5482.644560325284
157;5830.9518126827925
158;6011.558771243461
159;4633.441472897808
160;6748.21888888856
161;6281.058935624958
162;7028.1545656297685
163;5989.731026630946
164;5352.776868948561
165;5516.316416156469
166;6664.90702439136
167;5511.115971977164
168;6637.902081212559
169;5257.728831577502
170;6094.397437343975
171;7134.5724368054125
172;5394.25820807209
173;6289.873431209089
174;6096.195419893749
175;5344.115524888551
176;5030.049138863554
177;8230.500655078426
178;5218.205227628246
179;5090.369979807005
180;5434.3344197684555
181;5401.460112320432
182;5414.482732735171
183;7073.744898876288
184;4772.6811621589495
185;6704.205659596822
186;7181.777547613919
187;4969.503324508654
188;6085.750975001732
189;5546.970176954471
190;5395.682703747935
191;5319.33622904086
192;5597.290127177246
193;5791.644719970118
194;6270.542272177577
195;6645.788034346093
196;5539.004676980258
197;4525.322551987116
198;5219.712328070052
199;6283.385526365671
200;4093.238521843254
201;6511.647322918812
202;5485.951713741547
203;5305.601192471817
204;6769.844304895537
205;6341.632665834539
206;6371.1171364572365
207;4751.578102624135
208;6747.152044651101
209;6137.050792211005
210;5439.251629269741
211;5343.321851638944
212;8126.357926853549
213;5575.224039671403
214;6949.844373269659
215;6260.5483939547585
216;4523.198008046193
217;6725.479801220095
218;5324.276737678027
219;5970.263777183524
220;7224.927578055076
221;7256.288562089488
222;6127.154170102855
223;6185.2620583469525
224;6043.368843442935
225;5915.805844146674
226;5838.008981789657
227;6412.617310419195
228;6300.9786576512415
229;5031.3843142297565
230;7063.793269650198
231;6653.8267738807635
232;6177.5670597563385
233;4501.043111321327
234;4720.837659069022
235;6652.37498312725
236;5501.86922072427
237;5620.988974123896
238;6779.717223688496
239;5082.315670957932
240;5702.832695219784
241;5376.499919504612
242;5974.263085491611
243;6538.794487770105
244;6701.791514461366
245;6837.3568862757775
246;6396.326058856171
247;6306.489700330005
248;6841.554070515092
249;4274.751002355199
250;5700.650562123755
Mean;6014.941092103886
Stddev;907.4246933416701
