Experiment;Best solution TLBO
1;-2.9664166570332857
2;-2.198607574193587
3;-2.9131641337329492
4;-1.9843890501829642
5;-3.5048495972956055
6;-2.971637408626623
7;-2.7610014738634856
8;-2.193652729601161
9;-1.5258500568150997
10;-3.6573617770196427
11;-3.1935531439817413
12;-2.5071102157418843
13;-2.153115150978718
14;-4.245144124387124
15;-1.855089311138062
16;-2.4391061073567344
17;-3.5301427746842644
18;-2.418785874551976
19;-1.183958649291157
20;-1.938071756389891
21;-5.7141921616971425
22;-2.8645160580247815
23;-3.6949028529951673
24;-4.275809477456383
25;-3.4305207979375014
26;-2.3926469956622385
27;-3.0513215804674783
28;-2.6318226044926907
29;-3.513769037675568
30;-3.130778140787733
31;-2.44289194376459
32;-3.3819740919295684
33;-2.021331133538069
34;-2.0400310283830905
35;-2.551762951488074
36;-3.2348161014988692
37;-1.9285617409389662
38;-2.757774628315244
39;-2.100217502074316
40;-2.729523614272882
41;-3.8224616092595074
42;-3.4970629079713165
43;-3.143742964560458
44;-3.653465553261238
45;-3.519957387081511
46;-2.2634192986326784
47;-2.345723982966136
48;-3.178393704055662
49;-3.016079555790696
50;-3.1201134062189144
51;-2.446542114776187
52;-1.7815579236746157
53;-2.1300865281062555
54;-2.4027957680542213
55;-2.9166457721505656
56;-2.391382312149724
57;-2.7495966958617686
58;-3.686054026784545
59;-2.2321003090183873
60;-2.1936828079178325
61;-2.5841250914557343
62;-5.03722647570485
63;-2.3600565453975144
64;-1.7415660036190557
65;-2.786512191456091
66;-2.882665705816325
67;-2.66200665563732
68;-3.5507819050948743
69;-2.5127681533726096
70;-1.9242636080420956
71;-2.5045676863788713
72;-3.085608942732016
73;-2.664061062733741
74;-2.8614156550147225
75;-3.5671651562137754
76;-2.3389630784609254
77;-2.2179467517530314
78;-2.2285439813493544
79;-2.3521458085569416
80;-3.389484981728719
81;-3.758589369097397
82;-2.8884755342985025
83;-3.447217183361045
84;-2.3224488851215033
85;-2.6721208813971655
86;-3.64638063675815
87;-2.9301742826041295
88;-3.500899336200986
89;-4.218807036075201
90;-2.454632644701763
91;-4.121963697374686
92;-2.5333846821961004
93;-2.913395841191302
94;-2.648836652711053
95;-1.9383415269040905
96;-2.2529396135799664
97;-3.220293141564592
98;-2.5484811536837686
99;-2.244599593608934
100;-1.8482702799789876
101;-2.5162724803051852
102;-4.158373247805401
103;-1.8076522736232483
104;-3.4859666768959854
105;-2.5259400428020586
106;-2.5419066470927043
107;-3.3098843072953765
108;-4.498060829082649
109;-4.4893406965588625
110;-2.7037055196885507
111;-3.1589032168034965
112;-3.9313232748062763
113;-2.3350445536520485
114;-2.6786242400170894
115;-3.0088477896361763
116;-3.0673741838679844
117;-2.3196757819065263
118;-2.3071833647967535
