Experiment;Best solution TLBO
1;21047.98108798308
2;17118.638592510488
3;17639.084628027227
4;16841.725436798653
5;16997.43494412115
6;15566.520903762606
7;19400.229888326932
8;19579.519589036787
9;18188.19489153839
10;18131.888309598155
11;17674.321075279568
12;17847.640064526444
13;17893.04815796589
14;18200.610728406908
15;18165.831409624323
16;17300.212864089648
17;19370.355727367147
18;18691.29221098283
19;20892.719116160308
20;17558.98266793019
21;15481.398786043042
22;12497.694006874672
23;15928.847937655126
24;20193.51531269924
25;16942.48821374662
26;16660.130543425432
27;20915.003203856835
28;15905.59676858337
29;19440.785242903075
30;19153.429429901043
31;16184.160672690172
32;14254.338072741499
33;16283.418056317532
34;16900.930421505887
35;14000.565713780055
36;19738.18796575609
37;17554.295496292598
38;14955.466642809497
39;17015.41624801909
40;20271.535353051135
41;14983.706289564665
42;13755.304752156313
43;20711.0051602231
44;18824.495470052614
45;18106.85601082565
46;18194.939382742923
47;17754.498428346487
48;19471.138886195327
49;18557.383487158946
50;13758.361197533615
51;15049.512750650047
52;16157.748188389349
53;17470.98033489239
54;18970.384720684113
55;15753.989731608537
56;18728.137147916095
57;17256.063803792775
58;15688.853747983712
59;17382.154436933775
60;13954.274434903193
61;18639.07876697224
62;15690.36848371869
63;19057.68401504251
64;19062.96771931364
65;14593.561796187092
66;17742.787174321616
67;18974.88117834953
68;16560.691049523415
69;14428.492100044501
70;18511.22346072088
71;15670.177456981388
72;16266.29568153292
73;16890.381120540846
74;18010.030119577856
75;16654.54958215695
76;17522.601822819295
77;17820.378175887054
78;17970.64346700108
79;18933.493933035887
80;18040.02452718025
81;14349.868726129187
82;17007.109216042325
83;19038.028644178445
84;16705.699638232327
85;18000.63846720163
86;16317.589388042454
87;16496.504559642814
88;16918.653914350576
89;16010.784475682809
90;17500.02827654684
91;16213.247704012096
92;18656.941063665126
93;16929.443093014404
94;19941.741729312544
95;16590.4519453306
96;14545.856703094916
97;15203.198881982848
98;17399.145831602335
99;18443.450054832272
100;17036.121194526775
101;17252.082999262107
102;18330.083139141567
103;17726.896761812797
104;14983.866317075413
105;17438.13094261174
106;15261.427149618394
107;16818.75664784697
108;19720.584388937827
109;16739.735923474578
110;17906.373970894903
111;17270.83262647503
112;16464.115961596497
113;19399.93655160582
114;18414.180149082338
115;16362.634532261136
116;17457.73400086008
117;17987.457216969215
118;14278.63771434792
119;15411.106153881194
120;16492.884422925148
121;18369.36939118377
122;18339.954700072016
123;17280.15900273966
124;15686.254477240125
125;21510.615681714236
126;18776.736245093238
127;18689.41209073545
128;19386.837149823412
129;14057.041258531814
130;14203.592848703853
131;18639.128625380596
132;16056.750831247424
133;18863.142711916105
134;19569.92235513083
135;14167.782475640983
136;16397.280229972763
137;16911.73389516795
138;17142.015487399
139;12616.6012004739
140;15912.695167239295
141;16103.71253752103
142;14901.897165545503
143;18975.630754317157
144;17888.36547570089
145;16486.300882718402
146;18361.008016880256
147;12811.392596999673
148;16323.118930926554
149;19895.05511416058
150;16938.197997414485
151;17696.25475121466
152;19427.751586169506
153;17596.81486880621
154;18072.351153151183
155;19190.413604907222
156;16751.39676125891
157;16578.445585944643
158;14814.987778549872
159;18188.457975581354
160;17321.735840248773
161;18057.11937662591
162;18577.162624239438
163;15342.547141895333
164;15222.90285722156
165;14714.024349977364
166;15210.544202723646
167;16323.868232977486
168;13746.873544760216
169;17671.284742585405
170;18920.59053317014
171;19019.04514996367
172;16084.40746535506
173;19074.97820966288
174;18420.933710689987
175;19593.426848162286
176;13494.14461895095
177;18756.002410045006
178;18207.930594610327
179;15998.970145435112
180;13530.169163498833
181;17061.80907225858
182;17576.81874260645
183;16696.38690383448
184;17025.764048950947
185;13601.936635277256
186;20598.077914683316
187;18699.70648513411
188;16584.942054941588
189;17321.63649716481
190;16346.444732358537
191;17135.451691716476
192;17440.786764686087
193;13083.717565193214
194;17443.645734071633
195;19620.21433165478
196;15177.686361397617
197;17983.06777978671
198;15866.71785526383
199;18175.672152939715
200;17566.14373434293
201;13988.476937132362
202;19986.244806423958
203;18681.88911072567
204;19610.999189834718
205;18537.770173629433
206;17095.760442296538
207;14614.166729854825
208;16759.769596466114
209;16989.628758982235
210;17418.894375197022
211;16595.209853343553
212;12958.57294625474
213;16314.559078793161
214;16958.556535782966
215;17715.61694082348
216;17316.768139843218
217;18905.222741178284
218;18400.469853996958
219;17447.732321989468
220;16772.945923379284
221;16891.90987941023
222;19543.035808806115
223;16017.929673159242
224;13871.21315246127
225;17022.886371887766
226;17660.167481343684
227;17024.769871567893
228;19518.999564774684
229;19789.249786498152
230;15722.913142597074
231;18710.552293070403
232;16889.92086163887
233;14495.659597512993
234;12830.52242085986
235;18785.449695794803
236;18817.79155662014
237;17587.09594493988
238;17209.84719625694
239;15435.00025955168
240;17487.893027061968
241;14117.778388719415
242;16458.834728078727
243;19144.221926719027
244;15271.492356419027
245;17817.201880968478
246;14470.297934762219
247;16222.009211455623
248;18894.7672852645
249;13090.25400647269
250;17396.684995402255
Mean;17136.45988157798
Stddev;1812.7113853351025
