Experiment;Best solution TLBO
1;12464.349906538553
2;12379.899302729931
3;12421.82624140129
4;12360.870656016381
5;12420.463260517801
6;12387.274872781565
7;12369.735489773617
8;12403.85055502067
9;12346.735849475901
10;12383.373454134795
11;12371.675302964222
12;12424.090278694785
13;12400.95212430069
14;12399.236480108078
15;12433.755323750327
16;12379.2400242262
17;12438.728592298094
18;12334.285421306351
19;12454.390770474642
20;12453.96286538857
21;12401.137617755096
22;12367.12124576495
23;12425.052343608695
24;12387.577844618532
25;12388.86073218385
26;12445.385209671189
27;12404.186316793506
28;12408.538174911175
29;12450.895555608015
30;12400.20485357506
31;12384.981608019183
32;12316.337951518113
33;12381.900492802826
34;12433.07023365376
35;12385.414179956102
36;12374.686070914768
37;12378.941513269709
38;12441.183922441514
39;12359.790798255539
40;12422.846549552165
41;12354.953446481808
42;12399.12586699787
43;12450.016350488118
44;12331.560896320902
45;12448.98123332077
46;12403.291509318624
47;12397.458635892863
48;12401.715176198832
49;12412.5684803354
50;12422.335343811428
51;12315.413190036272
52;12378.014544841186
53;12373.254766916909
54;12373.527617448774
55;12372.919375167394
56;12250.453252934121
57;12235.757234941435
58;12405.088313891098
59;12425.858803326077
60;12378.997137220253
61;12422.45097399785
62;12407.331792747145
63;12417.236500041365
64;12370.7579513937
65;12380.223044213917
66;12413.750568594307
67;12406.049623304076
68;12407.3744444802
69;12387.117278195503
70;12374.75324106238
71;12420.632715348524
72;12409.757549837828
73;12416.03991904873
74;12418.155547009568
75;12373.779371324945
76;12384.448100159223
77;12335.947340427414
78;12388.521078502403
79;12360.5199590214
80;12413.780983590166
81;12268.87390103405
82;12410.665445377565
83;12341.36812020077
84;12406.454379964965
85;12351.093025114806
86;12448.241890729907
87;12286.389643407741
88;12455.077174972479
89;12408.221313700611
90;12374.843944555592
91;12326.579550112774
92;12404.317746155979
93;12393.957560964147
94;12405.207265213836
95;12351.807454774598
96;12416.776956047259
97;12373.110216300438
98;12452.913670057218
99;12339.91953127693
100;12305.05859357168
101;12431.019592747354
102;12415.456873671517
103;12401.261903545714
104;12465.09654015945
105;12394.340063859247
106;12329.417312045824
107;12386.597030745474
108;12402.224610602734
109;12387.070594280482
110;12343.979192040671
111;12414.305141470513
112;12396.261576630035
113;12436.48906653694
114;12429.127266238782
115;12399.447454142894
116;12440.432594912934
117;12409.630227454621
118;12386.008657224513
119;12365.038691628954
120;12363.593296694173
121;12423.698118523409
122;12389.712414990996
123;12408.292363837345
124;12410.359073508247
125;12370.35227723415
126;12283.81423790683
127;12385.293148263896
128;12385.72600270393
129;12371.973254432069
130;12403.367405463416
131;12395.777177766251
132;12368.924456282532
133;12450.939365132432
134;12433.434473459733
135;12386.426875981651
136;12443.8859457217
137;12399.501235070376
138;12349.570433095501
139;12404.58952877278
140;12378.849175406516
141;12350.0978393902
142;12435.63306285671
143;12373.273169396425
144;12454.485747656889
145;12320.884359301886
146;12437.856337580184
147;12348.580289316507
148;12411.186417924831
149;12427.957971731677
150;12353.466167577728
151;12379.201124294837
152;12380.176730267085
153;12439.133139542904
154;12374.977913398172
155;12399.397002088612
156;12303.91032547461
157;12431.489706550385
158;12364.52231347739
159;12380.05340104269
160;12438.769910102508
161;12364.088632860768
162;12409.771933826312
163;12395.211717664242
164;12353.235059782022
165;12372.141021224514
166;12419.576761072449
167;12343.313945407188
168;12473.842287698606
169;12352.848467457741
170;12407.884331220786
171;12346.527792049414
172;12385.344501323196
173;12421.076321617753
174;12423.547490469173
175;12417.005651424417
176;12376.257277296325
177;12415.192607322173
178;12333.839914212578
179;12446.497679771217
180;12359.846010762145
181;12392.48932091638
182;12338.802993904641
183;12450.062293838468
184;12381.783169098975
185;12296.539799943366
186;12337.874308233568
187;12374.108856371213
188;12363.034372355012
189;12419.043667366139
190;12355.316411801281
191;12353.34808930256
192;12460.748880725992
193;12349.316641130614
194;12395.999830273624
195;12404.024333001564
196;12386.843657001686
197;12392.452155454172
198;12405.811939724008
199;12387.167853380897
200;12424.337934014391
201;12419.735354304092
202;12376.362486966676
203;12393.430853683783
204;12298.863585423082
205;12420.289206420084
206;12347.64124961955
207;12415.414752979319
208;12379.463330722654
209;12369.44776587986
210;12446.465823861732
211;12392.99698193185
212;12365.434558019844
213;12388.728902949671
214;12426.123512411523
215;12386.543209088395
216;12367.190597416866
217;12372.651846767201
218;12444.240838795062
219;12356.823424062131
220;12351.126874903486
221;12448.068061499445
222;12354.291972298266
223;12378.932100609318
224;12279.135576830926
225;12264.89570077195
226;12336.073975048961
227;12405.471462327538
228;12408.98575089541
229;12424.336936386064
230;12353.002544203404
231;12366.250317957116
232;12424.141937970422
233;12401.69675095537
234;12346.254325464657
235;12393.608829822171
236;12433.97635424158
237;12364.28419369324
238;12310.862455122748
239;12467.006295044599
240;12408.966809059859
241;12413.370307052035
242;12431.720458510337
243;12343.68360209476
244;12374.869487829417
245;12404.955980757928
246;12379.577455898194
247;12346.436601915248
248;12447.41973388227
249;12376.906691771892
250;12423.440755570944
Mean;12389.246794406621
Stddev;41.00095020157766
