Experiment;Best solution TLBO
1;18808.85032691841
2;16134.04089005479
3;19284.087017984442
4;19553.085874892768
5;20016.215601891094
6;19630.64842718223
7;17048.077251557006
8;14093.927402107465
9;16091.49821692527
10;18326.394184806395
11;17823.28227172008
12;13369.277399850354
13;15497.477377345082
14;17933.779878383615
15;14319.29819847534
16;15690.201440597217
17;16257.851085314505
18;14303.700692263807
19;18998.67339039913
20;14945.562884765845
21;18681.601922822672
22;17189.958707176374
23;18695.375113812766
24;17892.629556639266
25;18682.387831911386
26;19312.83607608914
27;16024.779871785086
28;16865.573148860243
29;17842.94524987279
30;17777.878091311886
31;18036.92483675995
32;18074.357714568254
33;17350.98613862192
34;16880.84100883509
35;16959.500995869475
36;17138.870276251786
37;15925.808150013014
38;14118.059470814009
39;14417.316534409223
40;16319.708915430041
41;16956.80200624243
42;17251.820452655033
43;13841.449120731899
44;15793.575327841721
45;15593.589334909153
46;18182.907260414057
47;17006.41511179516
48;16199.275435659449
49;16623.090761489526
50;14113.35136281802
51;17444.56155331822
52;18504.019676021562
53;19171.387828425002
54;17829.860318417657
55;17381.470049965224
56;16934.136052001526
57;18455.45431272983
58;16835.07618818705
59;11816.468438025722
60;17473.160979805445
61;18482.16421512697
62;17290.048988772058
63;17896.291198739058
64;17797.85881187383
65;16932.318100613422
66;17083.952072394237
67;16187.265628460933
68;18248.880138851193
69;20641.8631475882
70;14424.91179507778
71;16306.952631035572
72;18066.174642336224
73;16457.27959643016
74;16603.52351680012
75;17263.99737888657
76;17581.1570627509
77;15449.492372723698
78;15770.308948411164
79;17176.088761481085
80;17830.908761684655
81;15508.63137659385
82;17385.394289287116
83;18306.66990220491
84;15974.35887483833
85;11053.996857673565
86;14932.560202796389
87;16170.002671122802
88;18859.655509667795
89;17991.29442361242
90;15309.944867911085
91;17087.578526294215
92;18220.77991874201
93;18543.84606802258
94;17357.235532337945
95;15617.267450730225
96;14319.738258487927
97;15580.584956281878
98;19082.21260069171
99;19774.279374935348
100;18716.85120896757
101;17381.85624242967
102;16041.317274554593
103;17815.01974020245
104;15725.074879744134
105;20617.553357243618
106;19111.160263733236
107;17656.678660701444
108;20805.926121777644
109;16413.273547682424
110;15285.301034164237
111;16714.651282514347
112;15004.886352227117
113;17423.276720250702
114;17531.509800920307
115;18315.954062319204
116;15878.020331706928
117;18588.675757611745
118;19157.510698465652
119;19547.907057998924
120;15013.585829026852
121;15415.577778881665
122;17375.577026934494
123;12139.170536495849
124;15378.5338253762
125;20106.596690716513
126;18020.559349418603
127;14719.020122219614
128;17888.359397155862
129;15911.925685231674
130;17162.662624380253
131;18635.477734471653
132;16159.099787094463
133;16797.606827362844
134;17212.056986821084
135;18451.0217657915
136;17180.126567253872
137;12869.627257754502
138;18191.271287869753
139;17423.50843358384
140;16705.73118396428
141;17663.05185500611
142;18393.693173003358
143;17926.523291316073
144;19413.565307455145
145;20841.679415215385
146;18045.55191092894
147;16131.667890470377
148;15573.268549490358
149;19594.47669513034
150;17618.72014752241
151;14854.256745965853
152;18457.94153732186
153;18524.47012680395
154;16910.93203744788
155;16441.511750012713
156;16409.453045613787
157;17961.26019986924
158;19465.26208809325
159;16540.575735481507
160;14688.607902426258
161;18174.88549276112
162;17643.8374705181
163;17184.830479107368
164;19207.983023640998
165;17003.72179796442
166;15658.23714658497
167;17541.986445763134
168;17569.99903629222
169;16841.831663840767
170;18558.581893925202
171;16338.146989220371
172;18517.806765280544
173;18364.079365262238
174;15348.09117685809
175;16043.406673099607
176;19620.236465542006
177;15027.164180786895
178;16312.239804564528
179;18812.723289016936
180;17282.981459489147
181;18407.645269880086
182;15214.642455926823
183;16181.31111883945
184;17738.15189626402
185;16714.308679700735
186;19257.729140916334
187;18391.136194389564
188;15131.11900084311
189;16344.39998890123
190;18450.32813101282
191;17274.29180222457
192;17875.836509897454
193;18300.78204623902
194;20857.54432348155
195;15793.942307062207
196;17166.72855985644
197;15765.54885643227
198;15805.81925410217
199;15102.230343291281
200;19448.29434366374
201;17262.039653716587
202;17971.54278035397
203;13808.392013006629
204;19080.35298768256
205;18876.636450117647
206;16593.21256502682
207;17467.3034478294
208;17422.529005526176
209;17513.678034811775
210;14973.171299605314
211;19032.083886107703
212;13747.589686289582
213;16956.7432904031
214;16349.33651842379
215;17741.63537386105
216;15683.478216197129
217;14728.49547169146
218;14780.111014611839
219;19792.575989107627
220;15919.772099398151
221;15394.831034130737
222;18114.79123782896
223;17192.110121653754
224;19005.56433843834
225;16986.82310111905
226;20288.38277591369
227;17586.049769251862
228;13197.799921966078
229;16827.419666365313
230;18087.990500903317
231;14760.724531187603
232;19200.090668230176
233;16745.39496575357
234;13284.317028074709
235;11249.39166701695
236;13919.314906217682
237;15852.131694871858
238;17570.1400226407
239;18047.973519094066
240;14863.091428732663
241;15647.729487563896
242;18860.95446338025
243;20274.49943844669
244;18539.505643186534
245;17557.139331058876
246;19043.886918211956
247;16663.698688711516
248;19077.390012045395
249;17910.752366555025
250;16328.778776537421
Mean;17065.157958311636
Stddev;1757.1618260766757
