Experiment;Best solution TLBO
1;89847017753.89714
2;186671758653.70282
3;140610713603.03717
4;123477915327.7281
5;160967681223.06433
6;104349446240.73647
7;66969216875.92912
8;139706969389.99326
9;173963778633.3089
10;203178379609.50876
11;109514674657.34808
12;159740177155.69107
13;113512783459.87543
14;148788599116.8689
15;128866177490.19235
16;98069292239.4772
17;241156903736.90964
18;144924072602.77264
19;137079255056.19247
20;191116389716.35205
21;69188511925.33266
22;36447629618.377205
23;121413501704.87097
24;106089601581.7091
25;147413794205.13553
26;129939703742.26047
27;214398293121.98523
28;154269372486.17227
29;150100034588.5252
30;124876386932.26915
31;161308655026.4115
32;60789361816.4691
33;155361639804.95752
34;148787689402.9438
35;172558435432.88785
36;138888001095.57495
37;111196032901.5306
38;94713744097.46465
39;116814277888.41745
40;145176907918.11517
41;166677447018.04385
42;164646855885.12912
43;115728145393.1932
44;102823980259.90031
45;86662640757.36754
46;134140211666.53421
47;86999320338.29555
48;203970654861.36664
49;136735157108.86287
50;188141685645.2772
51;147793753021.02402
52;177512380974.5869
53;141053961224.08878
54;193811905854.221
55;192872692828.7593
56;58350009809.59488
57;102708799246.50706
58;94481562793.30664
59;155331146982.11234
60;218156520773.06134
61;178027621386.01782
62;73344606934.48587
63;187591587581.01483
64;78354576898.01715
65;85641768092.39792
66;181204822350.89578
67;126429834972.9234
68;193247669916.696
69;167153986504.31674
70;152649365275.23022
71;95863473501.79102
72;170406263347.3827
73;96236776969.06319
74;218289410457.81757
75;64733195512.57738
76;145055788761.54858
77;157427468764.498
78;99595935723.7855
79;121516920481.4878
80;134056415391.03528
81;172709157602.11798
82;140509145784.37564
83;159265635691.5016
84;131320978287.48643
85;90203132976.29153
86;160412422541.21866
87;145525131311.07745
88;92960643446.16951
89;88354346481.47684
90;109669591558.76997
91;176018975789.39636
92;171988109947.43066
93;154374573290.66553
94;67397477781.45424
95;127018794442.50826
96;107047222850.99791
97;188564386612.25598
98;43253695581.55449
99;68020386270.184845
100;125296013893.11028
101;100657305631.7841
102;115998001494.8816
103;172163105366.21646
104;95808740900.06937
105;167603703260.63095
106;217710926163.22958
107;174763353156.00055
108;168007903620.2423
109;105570680828.91815
110;158382816761.4095
111;116150045590.73633
112;128240779453.31728
113;118783714419.67929
114;129132737510.13174
115;82772253733.51013
116;201481556110.26508
117;152661550757.98663
118;182417186421.20535
119;168786249790.8262
120;63797560939.75702
121;171238975533.15787
122;66856790380.23031
123;130701194746.48422
124;63567965219.68664
125;74584858830.9434
126;141494691126.23203
127;136163473124.9736
128;135866048761.25981
129;207199965113.20834
130;140250092419.10043
131;163767159187.79987
132;184519901191.42075
133;98781649887.638
134;137502434350.99722
135;184066315037.52008
136;60974169698.89897
137;193326917789.34882
138;153015499323.62817
139;134498987966.09032
140;158128427740.65277
141;99495536826.21364
142;168930757984.97186
143;203920753224.4362
144;132099437221.83615
145;128022412275.71735
146;175199432157.24573
147;120745824664.65341
148;208529374927.65353
149;154517735038.37415
150;153102816276.46542
151;101584374389.3516
152;209012006921.30478
153;92695929930.5901
154;125481434292.62936
155;116592984402.91411
156;149375154181.17783
157;45225687757.699356
158;186322139195.21
159;120773507415.98357
160;133617088665.38551
161;114619801646.27243
162;142710437456.92926
163;131092300404.28424
164;152644626013.60727
165;153795953434.46277
166;103129050539.42229
167;161770186817.34613
168;154865816806.428
169;203538362551.13428
170;79747114313.65302
171;141310476303.47092
172;92554297276.53635
173;204565175689.98178
174;117759871509.84967
175;64778743782.772865
176;121834155764.5656
177;155566221509.15176
178;154105128826.2584
179;161380820603.80606
180;53206093138.04746
181;147616362949.43753
182;114063141280.19476
183;246108671315.8293
184;136237751062.64725
185;190510390619.88434
186;180726742440.63245
187;152245223047.81775
188;109356255212.85675
189;100404145517.61684
190;145043468916.7131
191;56657176915.13948
192;115703225075.96341
193;110679083443.9786
194;102721500908.22256
195;129280159555.33476
196;213129463692.1893
197;169113980594.36212
198;122623608289.81523
199;149565230442.07523
200;103881878721.0011
201;157707707601.30856
202;130144672195.18117
203;182978424138.7178
204;94278090143.54233
205;99764064264.96475
206;130746905546.58022
207;230687666540.61554
208;141475794965.79092
209;128402958789.10057
210;168747967926.44397
211;108854938031.46033
212;112684730577.99782
213;111559600208.31085
214;95395926039.07838
215;105413620109.56406
216;93809358211.17293
217;107057514618.96707
218;172267213076.97046
219;164802503889.17923
220;57460732166.24139
221;111611432346.5926
222;138613129055.12637
223;131762724678.01918
224;119432911101.04951
225;157979123324.35242
226;149833830403.9833
227;149506486086.47888
228;121191004739.35504
229;149405794602.79495
230;150254906007.6846
231;99830229088.70982
232;169070138675.8652
233;135778989557.4948
234;166378209466.90573
235;113777286095.99158
236;132702981581.06206
237;161779869081.56442
238;117156599275.52045
239;198257351100.08185
240;125472847819.08223
241;201752778956.7822
242;174395880911.2185
243;158224212038.35175
244;156414202343.1444
245;160725975251.12006
246;68337718397.01143
247;80180735142.21376
248;123041983349.72658
249;120714137291.55452
250;100184447582.44376
Mean;136475477588.4413
Stddev;40679010048.5322
